Unnamed: 0,amenity_id,lattitude,longitutude,amenity,Distance,Score,Amenity_Group,lattitude_rad,longitutude_rad,Amenity_Group_0,Amenity_Group_1
0,Act0,52.6297968743748,-7.07423970149609,"""A Rural Experience"" Day Tours",,,"Activity Operator,Tour",0.9185632401136606,-0.1234687748664076,Activity Operator,Tour
1,Act1,53.3457958187091,-6.261232210082201,10 Fleet Street Restaurant & Bar,,,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian",0.9310597791330979,-0.10927911729785571,Food and Drink,Restaurant
2,Act2,53.350167000000006,-6.257199,101 Talbot,,,"Covid Safety Charter,Food and Drink,Restaurant,Vegetarian",0.9311360706388258,-0.10920872450249666,Covid Safety Charter,Food and Drink
3,Act3,53.3493056292935,-6.260205157501219,11 Day Discover Ireland Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour",0.9311210368839169,-0.10926119184872647,Activity Operator,Tour
4,Act4,53.3493056292935,-6.260205157501219,12 Day Giant Irish Adventure Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour",0.9311210368839169,-0.10926119184872647,Activity Operator,Tour
5,Act5,53.3524569,-6.2705757,12 Henrietta Street,,,"Historic Houses and Castle,Venue,Music",0.931176036933367,-0.10944219196054819,Historic Houses and Castle,Venue
6,Act6,53.2772719,-9.049449099999999,126 Artist-Run Gallery,,,"Craft,Shopping,Art Gallery",0.9298638111352552,-0.15794268228663758,Craft,Shopping
7,Act7,53.3525066716744,-6.2702109047595505,14 Henrietta Street,,,"Covid Safety Charter,Historic Houses and Castle,Museums and Attraction,Venue,Music,Food Shops,Shopping,Tour",0.9311769056129595,-0.10943582508250675,Covid Safety Charter,Historic Houses and Castle
8,Act8,53.33913832450211,-6.25036385533451,1916 Freedom Tour,,,"Activity Operator,Tour",0.9309435839392535,-0.10908942872323374,Activity Operator,Tour
9,Act9,53.343099,-6.261746,1916 Rebellion Walking Tours,,,"Walking,Activity Operator,Tour",0.9310127107672947,-0.10928808462358484,Walking,Activity Operator
10,Act10,53.3454402,-6.2798109,1916 Ride the Revolution Rise of the Rebels Bus Tour - Hidden Dublin Walks,,,"Activity Operator,Tour",0.9310535724157424,-0.10960337660762838,Activity Operator,Tour
