Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_Property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Cultural_Amenity_to_Property,Culture_Amenity_id,Nearest_Cultural_Amenity_to_Property,Number_culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_Property,Number_indoor_Amenity_to_Property
4432540,52.447353899999996,-6.346930299999999,0.9153790095136888,-0.11077483112959143,8.993599449095237,Act5349,Seán Ógs Bar,0.0,6.626818654073052,Act6490,The Surf Shack Curracloe,0.0,9.93190052450549,Act474,Ballyelland Pottery,0.0,9.493353385623607,Act500,Ballykeele Garden,0.0,5.381028771798442,Act440,Ballinesker Beach ,0.0
4454727,52.59939749999999,-8.806099099999997,0.9180326709402739,-0.15369542355190935,4.046484729435193,Act354,Aunty Lena's Bar,3.0,1.9921150274939516,Act183,Angling Bleach Lough,7.0,4.002038185507788,Act79,Adare Woollens,4.0,3.789132593537874,Act350,Augustinian Abbey Adare,4.0,3.700746329303045,Act1913,Desmond Castle Adare,8.0
4432817,51.59762,-9.568404,0.9005483551928766,-0.1670001539609955,2.399583472436104,Act689,Blairscove House & Restaurant,1.0,3.8506849439147564,Act5417,Sheep's Head Way,6.0,12.186098254348257,Act6487,The Stuffed Olive,0.0,3.663885331229334,Act101,Ahakista Air India Plane Disaster Memorial,2.0,7.287357080112213,Act11001,SWI500,0.0
4448747,53.3054493,-6.2031515,0.9303555995399065,-0.10826541767502502,0.561902178447215,Act4746,Old Punch Bowl Bar,90.0,0.8319046681099713,Act755,Blackrock Park,23.0,1.6988170922077213,Act6305,The Organic Supermarket,14.0,1.051963537305346,Act4566,National Folklore Collection,31.0,2.7701917635624866,Act5356,Seapoint  Beach,29.0
4440864,51.821931,-8.403391300000001,0.9044633206913175,-0.14666684651844658,1.14011378706695,Act9885,"Fig & Olive Café, Carrigaline",2.0,3.7603987745796816,Act5035,Raffeen Creek Golf Club,1.0,1.1455354181765711,Act3009,Hassett's Bakery,1.0,4.1896675390441,Act6321,The Pavilion Garden Centre,1.0,5.409167926218903,Act1675,Cork EcoTours,0.0
4416307,52.80825180000001,-6.1386046,0.9216778661322222,-0.1071388617480695,1.487460162410196,Act6819,Victorian Tea Times,3.0,2.1953951893419124,Act265,Arklow Golf Club,1.0,7.653826402583919,Act6246,The Mill at Avoca Village,0.0,1.3043054555888332,Act267,Arklow Maritime Museum,1.0,9.95768461209487,Act376,Avoca Studio Gallery,0.0
4452303,53.6108671,-6.2106118,0.9356861457441041,-0.10839562447321156,4.335861445012637,Act243,Ardgillan Castle Café,3.0,2.488832767135328,Act407,Balbriggan Golf Club,2.0,12.833783469907324,Act229,Architectural Furniture,0.0,4.30495444345149,Act244,Ardgillan Demesne,2.0,1.2381162085312853,Act2915,Green Landscapes Social Golf Breaks Ireland,1.0
4459106,53.34119889999999,-6.3067438,0.9309795477661773,-0.11007344438973875,0.26223323838157,Act2139,Dublin Food Co-op Organic Food Market,376.0,0.24765977191614158,Act596,Battles and Barracks,91.0,1.59251414264302,Act6791,Urban Plant Life Garden Centre,66.0,0.21578408124657672,Act3694,Kilmainham Gaol,166.0,0.4058314471567666,Act74,Adam Ladd Tours,236.0
4454626,53.04156769999999,-7.2949182,0.9257499967844757,-0.1273203412536582,0.8508125084050001,Act3478,Kavanaghs Pub - The Wrens Nest,5.0,0.8062055097371305,Act4139,M Kavanagh Bicycle Hire,1.0,26.788655683729335,Act1230,Castlecomer Estate Craft Yard,0.0,14.242385581103841,Act46,Abbeyleix Heritage House,0.0,0.8625689621589883,Act6011,The Dunamaise Arts Centre,4.0
4451959,53.4039338,-6.2087414,0.9320744783270869,-0.10836297983488226,0.7096715937834153,Act1030,Café at Butlers Chocolate Experience,24.0,3.5866610284612146,Act1518,Clontarf Golf Club,7.0,2.817186801117193,Act4765,Omni Park Shopping Centre,1.0,0.8441574633425217,Act5381,Shackleton Outdoor Education Centre,3.0,0.7096715937834153,Act1017,Butlers Chocolate Experience,7.0
