id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
1001,CARLOW URBAN/RURAL (PT.),4560,-12.52173078,27.46620739,19.09283651,17.93859649
1002,GRAIGUE URBAN,1405,-13.80813898,22.633263,15.86308077,13.66548043
1003,CLONMORE,526,-5.48375753,9.39125964,1.1210367,34.60076046
1004,HACKETSTOWN,1117,-14.69311335,23.60959815,16.48183976,24.52999105
1005,HAROLDSTOWN,296,-9.11407938,21.42857143,1.03092784,31.75675676
1006,KINEAGH,343,-7.9123894,13.7254902,0.86956522,33.2361516
1007,RAHILL,729,-7.09512994,16.48104201,2.42172634,36.76268861
1008,RATHVILLY,875,-13.88283173,20.93892354,13.89401709,24.68571429
1009,TIKNOCK,332,-10.52386125,17.34693878,2.75229358,28.61445783
1010,WILLIAMSTOWN,283,-2.40533335,10.95890411,4.08163265,37.45583039
1011,AGHA,395,-1.49388275,9.64912281,0.78740157,39.74683544
1012,BALLINACARRIG,1025,-2.42699876,14.55366208,3.40408806,45.17073171
1013,BALLINTEMPLE,562,-4.31537403,5.96551432,4.61186865,31.49466192
1014,BALLON,717,-7.85462494,10.94986173,6.23006551,27.47559275
1015,BALLYELLIN,425,-8.20140045,13.68372256,1.37473599,32
1016,BALLYMOON,344,-3.21025889,11.11111111,0.85470085,42.73255814
1017,BORRIS,1051,-10.50376513,20.85101655,12.07143612,31.77925785
1018,BURTON HALL,525,3.22624862,6.19871795,3.01974448,49.14285714
1019,CARLOW RURAL (PT.),14546,-7.74232145,19.95809632,14.184545,29.22452908
1020,CLOGRENAN,1038,-5.40770633,12.00406348,5.69026349,35.54913295
1021,CLONEGALL,1001,-6.0600606,11.11097684,5.81821806,30.56943057
1022,CORRIES,537,-7.63628332,14.85168928,1.66886814,34.63687151
1023,CRANEMORE,1103,-7.03212817,10.46253724,5.00775307,32.63825929
1024,FENNAGH,781,-6.60910707,15.69592803,7.33020714,36.36363636
1025,GARRYHILL,580,-6.16163179,10.32940596,2.53541396,30.86206897
1026,GRANGEFORD,465,-2.84096947,9.86499403,2.21696622,39.35483871
1027,JOHNSTOWN,589,-5.25494661,15.62861138,2.57447535,43.63327674
1028,KELLISTOWN,974,-2.37388465,10.25956255,8.85912361,40.34907598
1029,KILBRIDE,438,-4.11525277,8.80200146,3.35885238,39.9543379
1030,KILLEDMOND,405,-1.55015248,9.83606557,2.19178082,44.9382716
1031,KILLERRIG,373,0.61937594,8.73786408,0.00E+00,49.32975871
1032,LEIGHLINBRIDGE,1641,-4.08060842,16.17288521,8.53257913,38.57404022
1033,MUINEBEAG (BAGENALSTOWN) RURAL,654,-5.05196331,15.03399239,0.00E+00,42.96636086
1034,MUINEBEAG (BAGENALSTOWN) URBAN,2752,-14.43098895,22.14090848,21.18154455,21.4752907
1035,MYSHALL,593,-10.79340622,13.09624899,10.6413847,25.46374368
1036,NURNEY,855,-5.76039283,13.73956457,3.47876917,38.47953216
1037,OLDLEIGHLIN,576,-2.84889091,11.65600177,3.78302146,38.19444444
1038,RATHANNA,122,-5.18628072,8.10810811,0.00E+00,31.14754098
1039,RATHORNAN,445,-8.07554518,11.32075472,4.87804878,36.40449438
1040,RATHRUSH,1110,-2.54045383,6.64690741,3.10433116,40.36036036
1041,RIDGE,292,-8.2942374,19.75308642,2.3255814,33.90410959
1042,SHANGARRY,513,-3.1636934,14.46350581,1.22956965,40.35087719
1043,SLIGUFF,506,-5.75914542,14.18968862,5.07085703,35.17786561
1044,TANKARDSTOWN,437,-1.74978512,8.10810811,1.47058824,39.81693364
1045,TEMPLEPETER,419,-5.32554893,10.6287089,1.4797136,37.94749403
1046,TULLOWBEG,622,-9.69372903,25.77727853,5.66793649,24.43729904
1047,TULLOW RURAL,846,0.50654392,8.63322951,1.49746622,37.47044917
1048,TULLOW URBAN,3978,-12.10220689,21.04716225,21.98239035,17.11915535
1049,BALLYMURPHY,275,-9.46876202,11.84210526,1.11111111,32.72727273
1050,COONOGUE,208,-8.44018043,14.0625,4.05405405,34.61538462
1051,GLYNN,379,-4.49405052,8.08080808,0.80645161,39.84168865
1052,KYLE,320,-6.41659066,8.53658537,0.89285714,38.125
1053,MARLEY,401,-5.76929364,14.5631068,1.58730159,40.14962594
1054,TINNAHINCH,648,-8.43278075,20.78893981,4.39541105,34.72222222
2001,ARRAN QUAY A,1785,1.03583298,15.19079126,12.80960357,29.18767507
2002,ARRAN QUAY B,4166,1.86729219,16.98553687,13.94581627,31.06096976
2003,ARRAN QUAY C,4471,6.0481431,13.4337371,14.57244021,36.926862
2004,ARRAN QUAY D,3109,-0.3029133,18.74715238,14.20225909,34.6091991
2005,ARRAN QUAY E,3293,1.77949074,14.82044082,13.4441439,38.80959611
2006,ASHTOWN A,10566,5.11346477,8.51594511,4.33143182,47.9651713
2007,ASHTOWN B,2643,3.31257861,7.86430131,1.19226963,51.5701854
2008,AYRFIELD,5639,-7.26679191,12.1807334,4.88319113,27.54034403
2009,BALLYBOUGH A,3718,-10.87290427,26.61370402,38.88513652,21.16729424
2010,BALLYBOUGH B,3698,-0.35799813,18.71167367,13.89695385,26.82531098
2011,BALLYGALL A,3606,-9.12309469,20.1047327,12.46779678,23.57182474
2012,BALLYGALL B,1887,-8.45210886,11.97396265,10.29858822,28.77583466
2013,BALLYGALL C,3521,-2.92823418,8.54647564,3.41802461,42.26072139
2014,BALLYGALL D,2531,-5.02624827,14.33024798,7.26394527,36.58632951
2015,BALLYMUN A,4765,-7.47364557,22.32167195,29.47001804,26.35886674
2016,BALLYMUN B,4379,-21.42904448,34.47686197,54.47598509,9.47704955
2017,BALLYMUN C,6112,-16.3191108,30.90277278,45.28805067,14.52879581
2018,BALLYMUN D,2458,-21.03420056,36.13518206,59.30750168,11.18795769
2019,BALLYMUN E,1562,1.41642987,6.11975082,0.70105058,50.70422535
2020,BALLYMUN F,2350,-3.54826211,9.19722496,0.59508491,37.57446809
2021,BEAUMONT A,2463,-4.12922693,7.97570949,0.6278706,35.16037353
2022,BEAUMONT B,4962,-4.38489596,11.61108607,1.93876982,35.10681177
2023,BEAUMONT C,3242,-4.68641263,11.64884175,3.36742101,36.9216533
2024,BEAUMONT D,2135,-0.52650744,8.45423072,0.69315103,42.15456674
2025,BEAUMONT E,2051,-1.95691032,8.82414559,0.67063011,42.27206241
2026,BEAUMONT F,3590,0.87424761,8.70460451,3.69620857,43.9275766
2027,BOTANIC A,3174,5.21946976,9.10301702,1.10572858,52.39445495
2028,BOTANIC B,3481,7.61965065,9.32767004,2.88936734,55.07038207
2029,BOTANIC C,2222,8.43883218,9.99433043,2.62714978,49.549955
2030,CABRA EAST A,5650,4.61787245,12.55042345,5.02561727,40.5840708
2031,CABRA EAST B,3737,-9.1415109,18.35658374,7.95352852,24.37784319
2032,CABRA EAST C,4085,-0.48347782,17.70080672,8.98065722,31.30966952
2033,CABRA WEST A,1478,-16.69917531,21.13499669,12.42409794,20.29769959
2034,CABRA WEST B,2577,-17.0206224,24.88977155,19.37934766,16.02638727
2035,CABRA WEST C,2953,-11.04309786,19.99324441,11.22000375,24.14493735
2036,CABRA WEST D,2845,-4.25044993,17.27874719,17.73871736,34.90333919
2037,CLONTARF EAST A,3438,0.5440225,9.16615365,5.48891201,49.04013962
