,index,id,formatted_address,lat,lng,county,address,dateofsale,euro_price,indexcol_x,HouseLat,HouseLong,SecSchDist,SecSchlat,SecSchLong,indexcol_y,HouseLat1,HouseLong1,PriSchDist,PriSchlat,PriSchLong,indexcol,HouseLat2,HouseLong2,ED_ENGLISH,ED_ID
0,0,30,"Shanagarry House, Shanagarry North, Shanagarry, Co. Cork, Ireland",51.8536331,-8.0326558,Cork,"NO. 7 SHANAGARRY HOUSE, DUNMANWAY, CO.CORK",06/11/2020,185000.0,0,51.8536331,-8.0326558,11.182461803847605,51.9072005,-8.1703219,0,51.8536331,-8.0326558,0.25630220758490724,51.8546702,-8.0359839,0.0,51.8536331,-8.0326558,BALLYCOTTIN,47023
1,1,42,"11 Eden Grove, Ballisk Common, Donabate, Co. Dublin, Ireland",53.4933598,-6.1498710999999995,Dublin,"11 EDEN GROVE, DONABATE, DUBLIN",06/11/2020,375000.0,1,53.4933598,-6.1498710999999995,0.4590607892994575,53.4899919,-6.1458709,1,53.4933598,-6.1498710999999995,0.3156083548779224,53.4915645,-6.1461826,1.0,53.4933598,-6.1498710999999995,DONABATE,267065
2,2,50,"12 Beverly Heights, Raheen, Limerick, V94 T2NK, Ireland",52.631518799999995,-8.6489714,Limerick,"12 BEVERLY HEIGHTS, RAHEEN, LIMERICK",06/11/2020,205000.0,2,52.631518799999995,-8.6489714,0.7931721995793362,52.6366286,-8.640789,2,52.631518799999995,-8.6489714,0.671506966912111,52.6372698,-8.6519717,2.0,52.631518799999995,-8.6489714,BALLYCUMMIN,127018
3,3,45,"12 Caledon Ct, East Wall, Dublin, D03 TP83, Ireland",53.35335129999999,-6.232153299999999,Dublin,"12 CALEDON COURT, EAST RD, EAST WALL DUBLIN 3",06/11/2020,345000.0,3,53.35335129999999,-6.232153299999999,1.1828823359339675,53.3437546,-6.2245095,3,53.35335129999999,-6.232153299999999,0.265794439625436,53.354366,-6.2285321,3.0,53.35335129999999,-6.232153299999999,NORTH DOCK B,268108
4,4,48,"12 The Meadows, Broomfield West, Tír Cluain, Co. Cork, P25 HY38, Ireland",51.930096999999996,-8.188903100000001,Cork,"12 THE MEADOWS, TIR CLUAIN, MIDLETON",06/11/2020,250000.0,4,51.930096999999996,-8.188903100000001,2.089606497976249,51.9148487,-8.1711509,4,51.930096999999996,-8.188903100000001,0.49012998597335594,51.9277748,-8.1828366,4.0,51.930096999999996,-8.188903100000001,MIDLETON RURAL,47253
5,5,47,"13 Upper Pennywell, Sarsfield Ave, Limerick, V94 EN1W, Ireland",52.66256329999999,-8.614539,Limerick,"13 SARSFIELD AVE, GARRYOWEN, LIMERICK",06/11/2020,119800.8,5,52.66256329999999,-8.614539,0.5613857229584731,52.6601486,-8.6218387,5,52.66256329999999,-8.614539,0.10912619947225984,52.66265,-8.612929,5.0,52.66256329999999,-8.614539,ABBEY D,128004
6,6,57,"157 Beechwood Ct, Galloping Green North, Dublin, Ireland",53.283219200000005,-6.1884259,Dublin,"157 BEECHWOOD COURT, STILLORGAN, DUBLIN",06/11/2020,330000.0,6,53.283219200000005,-6.1884259,1.2604039985671012,53.2898876,-6.173119,6,53.283219200000005,-6.1884259,0.596264850942713,53.2853247,-6.1966643,6.0,53.283219200000005,-6.1884259,BLACKROCK-CARYSFORT,267020
7,7,53,"186 Whitebeams Rd, Wedgewood, Sandyford, Dublin 16, D16 F5K2, Ireland",53.2790605,-6.2247481,Dublin,"186 WHITEBEAMS RD, WEDGEWOOD, SANDYFORD DUBLIN 18",06/11/2020,392000.0,7,53.2790605,-6.2247481,0.662655016028809,53.2846602,-6.2213697,7,53.2790605,-6.2247481,0.3132651090199899,53.276327,-6.2258669,7.0,53.2790605,-6.2247481,DUNDRUM-BALALLY,267078
8,8,12,"36 Chandlers View, Ballynoe, Rushbrooke Links, Co. Cork, P24 HC52, Ireland",51.8554181,-8.321548700000001,Cork,"36 CHANDLERS VIEW, RUSHBROOKE LINKS, COBH",06/11/2020,290000.0,8,51.8554181,-8.321548700000001,1.767814664796732,51.8662938,-8.3402873,8,51.8554181,-8.321548700000001,0.7748020767938034,51.8499374,-8.3146027,8.0,51.8554181,-8.321548700000001,COBH RURAL,47106
9,9,13,"38 Coolrua Dr, Beaumont, Dublin, D09 HX39, Ireland",53.388858,-6.233420099999999,Dublin,"38 COOLRUA DR, BEAUMONT, DUBLIN 9",06/11/2020,357555.0,9,53.388858,-6.233420099999999,0.4036118224795689,53.3856792,-6.2304959,9,53.388858,-6.233420099999999,0.4873481497278663,53.3877761,-6.2263069,9.0,53.388858,-6.233420099999999,BEAUMONT A,268021
