roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
00359V,NULL,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,primary,229,54.2456074,-6.9766257,NULL,NULL
00373P,NULL,DERAVOY NATIONAL SCHOOL,Deravoy,Monaghan,primary,66,54.3563977,-7.0243136,177002,ANKETELL GROVE
00467B,NULL,BALLINSPITTLE N S,Ballycatten,Cork,primary,222,51.6661349,-8.6114229,47234,LAHERNE
00512D,NULL,MIDLETON CONVENT N S,Midleton,Cork,primary,448,51.9077343,-8.1646481,47254,MIDLETON URBAN
00538V,NULL,CLOCHAR DAINGEAN,An Phríomhsráid Uachtarach,Kerry,primary,114,52.1390931,-10.2710203,77065,DINGLE
00606M,NULL,MONARD N S,Monard,Tipperary,primary,96,52.5184427,-8.2234039,217018,BALLYKISTEEN
00651R,NULL,BORRIS MXD N S,Lower Main Street,Carlow,primary,215,52.5998385,-6.9208848,17008,BORRIS
00697S,NULL,ST BRIGIDS MXD N S,Beechpark Lawn,Dublin,primary,949,53.3752681,-6.3619871,267041,CASTLEKNOCK-PARK
00714P,NULL,LUCAN B N S,Chapel Hill,Dublin,primary,513,53.359626,-6.4436697,267101,LUCAN HEIGHTS
00729F,NULL,CLOCHAR LORETO N S,Grange Road,Dublin,primary,501,53.2913714,-6.2789352,267115,RATHFARNHAM-HERMITAGE
00752A,NULL,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin,primary,276,53.3513517,-6.2558236,268106,NORTH CITY
00779U,NULL,PRESENTATION GIRLS PRIMARY SCHOOL,Main Street,Kildare,primary,619,53.3835447,-6.587465,87066,MAYNOOTH
00788V,NULL,LISDOWNEY N S,Lisdowney,Kilkenny,primary,95,52.7889395,-7.3883646,97073,LISDOWNEY
00796U,NULL,SCOIL LACHTAIN,Freshford,Kilkenny,primary,189,52.7307635,-7.3967371,97043,FRESHFORD
00851C,NULL,PRESENTATION CONVENT,Ballymakenny Road,Louth,primary,282,53.7297495,-6.3436372,NULL,NULL
00856M,NULL,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,primary,236,53.7294138,-7.7964324,NULL,NULL
00860D,NULL,FORGNEY N S,Cloncallow,Longford,primary,19,53.5443953,-7.6988621,137031,FORGNEY
00883P,NULL,AINE NAOFA N S,Fairgreen,Meath,primary,317,53.6514886,-6.6848538,NULL,NULL
00885T,NULL,RATOATH JUNIOR N S,Fairyhouse Road,Meath,primary,377,53.5031276,-6.4662755,167078,RATOATH
00892Q,NULL,SHANGANAMORE N S,Shanganamore,Laois,primary,115,52.9532613,-6.9893985,107016,BARROWHOUSE
00895W,NULL,BALLINAKILL MIXED N S,Ballinakill,Laois,primary,92,52.8777604,-7.3088444,107007,BALLINAKILL
00934G,NULL,PRESENTATION CONVENT (JNR),Harbour Street,Westmeath,primary,313,53.528376,-7.342557,237106,MULLINGAR NORTH URBAN
00941D,NULL,S N BHRIDE,Emper,Westmeath,primary,31,53.6030953,-7.5831872,237040,EMPER
00973Q,NULL,GRANGE CON N S,Grangecon,Wicklow,primary,31,52.997873,-6.74315,257070,THE GRANGE
00977B,NULL,BALLYCONNELL N S,Ballyconnell,Carlow,primary,166,54.1136857,-7.5819906,27006,BALLYCONNELL
00984V,NULL,GLENEALY 1 N S,Glenealy,Wicklow,primary,120,52.9666341,-6.1445729,257038,GLENEALY
01000E,NULL,ESKER N S,Esker,Galway,primary,103,53.2786183,-8.6816856,67152,KILTULLAGH
01013N,NULL,SCOIL CROI IOSA,Newcastle Road,Galway,primary,128,53.2742202,-9.0626292,68014,NUNS ISLAND
01086R,NULL,S N POL NAOFA,Church Road,Roscommon,primary,70,53.7686571,-8.4924537,197032,CASTLEREAGH
01116A,NULL,BAILE AN CHUILINN N S,Ballinkillen,Carlow,primary,120,52.65396,-6.93134,17045,SLIGUFF
01125B,NULL,LEITRIM MXD N S,Leitrim Village,Leitrim,primary,212,53.9450428,-8.0966432,NULL,NULL
01170G,NULL,S N NA H-AILLE,Westown,Dublin,primary,139,53.5841591,-6.2883621,267093,HOLLYWOOD
01197D,NULL,STRAWBERRY HILL B N S,Blarney Street,Cork,primary,187,51.9008431,-8.5002409,NULL,NULL
01215C,NULL,NEWTOWN DUNLECKNEY MXD,Newtown,Carlow,primary,146,52.7227582,-6.8767292,17001,AGHA
01272O,NULL,S N CHUAN DOIR,Drombeg,Cork,primary,72,51.564569,-9.0873795,47197,KILFAUGHNABEG
01285A,NULL,TIPPERARY JNR BN S,St Michael's Street,Tipperary,primary,81,52.4772019,-8.1599787,217164,TIPPERARY EAST URBAN
