id06,county,ed_english,pop2016,hpindex2016,edhigh,hlprof,larent,unemploy
1001,Carlow,CARLOW URBAN/RURAL (PT.),4560,-12.52173078,26.56764316,17.93859649,19.09283651,27.46620739
1002,Carlow,GRAIGUE URBAN,1405,-13.80813898,18.1560834,13.66548043,15.86308077,22.633263
1003,Carlow,CLONMORE,526,-5.48375753,24.83479355,34.60076046,1.1210367,9.39125964
1004,Carlow,HACKETSTOWN,1117,-14.69311335,17.9370958,24.52999105,16.48183976,23.60959815
1005,Carlow,HAROLDSTOWN,296,-9.11407938,26.66666667,31.75675676,1.03092784,21.42857143
1006,Carlow,KINEAGH,343,-7.9123894,24.89270386,33.2361516,0.86956522,13.7254902
1007,Carlow,RAHILL,729,-7.09512994,26.82348765,36.76268861,2.42172634,16.48104201
1008,Carlow,RATHVILLY,875,-13.88283173,19.41212748,24.68571429,13.89401709,20.93892354
1009,Carlow,TIKNOCK,332,-10.52386125,24.17061611,28.61445783,2.75229358,17.34693878
1010,Carlow,WILLIAMSTOWN,283,-2.40533335,35.88235294,37.45583039,4.08163265,10.95890411
1011,Carlow,AGHA,395,-1.49388275,33.19672131,39.74683544,0.78740157,9.64912281
1012,Carlow,BALLINACARRIG,1025,-2.42699876,42.05411649,45.17073171,3.40408806,14.55366208
1013,Carlow,BALLINTEMPLE,562,-4.31537403,25.29215158,31.49466192,4.61186865,5.96551432
1014,Carlow,BALLON,717,-7.85462494,28.97799981,27.47559275,6.23006551,10.94986173
1015,Carlow,BALLYELLIN,425,-8.20140045,23.43438914,32,1.37473599,13.68372256
1016,Carlow,BALLYMOON,344,-3.21025889,29.03225806,42.73255814,0.85470085,11.11111111
1017,Carlow,BORRIS,1051,-10.50376513,25.40959643,31.77925785,12.07143612,20.85101655
1018,Carlow,BURTON HALL,525,3.22624862,42.04124962,49.14285714,3.01974448,6.19871795
1019,Carlow,CARLOW RURAL (PT.),14546,-7.74232145,32.99175337,29.22452908,14.184545,19.95809632
1020,Carlow,CLOGRENAN,1038,-5.40770633,28.56419545,35.54913295,5.69026349,12.00406348
1021,Carlow,CLONEGALL,1001,-6.0600606,24.84566474,30.56943057,5.81821806,11.11097684
1022,Carlow,CORRIES,537,-7.63628332,30.05235694,34.63687151,1.66886814,14.85168928
1023,Carlow,CRANEMORE,1103,-7.03212817,28.40288484,32.63825929,5.00775307,10.46253724
1024,Carlow,FENNAGH,781,-6.60910707,28.95007884,36.36363636,7.33020714,15.69592803
1025,Carlow,GARRYHILL,580,-6.16163179,24.83250252,30.86206897,2.53541396,10.32940596
1026,Carlow,GRANGEFORD,465,-2.84096947,34.424389,39.35483871,2.21696622,9.86499403
1027,Carlow,JOHNSTOWN,589,-5.25494661,34.63215027,43.63327674,2.57447535,15.62861138
1028,Carlow,KELLISTOWN,974,-2.37388465,34.69390278,40.34907598,8.85912361,10.25956255
1029,Carlow,KILBRIDE,438,-4.11525277,29.41628522,39.9543379,3.35885238,8.80200146
1030,Carlow,KILLEDMOND,405,-1.55015248,34.26547034,44.9382716,2.19178082,9.83606557
1031,Carlow,KILLERRIG,373,0.61937594,38.07531381,49.32975871,0.00E+00,8.73786408
1032,Carlow,LEIGHLINBRIDGE,1641,-4.08060842,33.21163651,38.57404022,8.53257913,16.17288521
1033,Carlow,MUINEBEAG (BAGENALSTOWN) RURAL,654,-5.05196331,30.80813076,42.96636086,0.00E+00,15.03399239
1034,Carlow,MUINEBEAG (BAGENALSTOWN) URBAN,2752,-14.43098895,19.53650937,21.4752907,21.18154455,22.14090848
1035,Carlow,MYSHALL,593,-10.79340622,23.24932524,25.46374368,10.6413847,13.09624899
1036,Carlow,NURNEY,855,-5.76039283,28.27727225,38.47953216,3.47876917,13.73956457
1037,Carlow,OLDLEIGHLIN,576,-2.84889091,32.19614265,38.19444444,3.78302146,11.65600177
1038,Carlow,RATHANNA,122,-5.18628072,27.77777778,31.14754098,0.00E+00,8.10810811
1039,Carlow,RATHORNAN,445,-8.07554518,23.87096774,36.40449438,4.87804878,11.32075472
1040,Carlow,RATHRUSH,1110,-2.54045383,32.02598369,40.36036036,3.10433116,6.64690741
1041,Carlow,RIDGE,292,-8.2942374,23.75690608,33.90410959,2.3255814,19.75308642
1042,Carlow,SHANGARRY,513,-3.1636934,28.88814896,40.35087719,1.22956965,14.46350581
1043,Carlow,SLIGUFF,506,-5.75914542,27.85855449,35.17786561,5.07085703,14.18968862
1044,Carlow,TANKARDSTOWN,437,-1.74978512,30.31496063,39.81693364,1.47058824,8.10810811
1045,Carlow,TEMPLEPETER,419,-5.32554893,30.65518055,37.94749403,1.4797136,10.6287089
1046,Carlow,TULLOWBEG,622,-9.69372903,29.77222389,24.43729904,5.66793649,25.77727853
1047,Carlow,TULLOW RURAL,846,0.50654392,36.97646218,37.47044917,1.49746622,8.63322951
