roll_number,ed_english,ed_id,latitude,longitude
00373P,ANKETELL GROVE,177002,54.3563977,-7.0243136
00467B,LAHERNE,47234,51.6661349,-8.6114229
00512D,MIDLETON URBAN,47254,51.9077343,-8.1646481
00538V,DINGLE,77065,52.1390931,-10.2710203
00606M,BALLYKISTEEN,217018,52.5184427,-8.2234039
00651R,BORRIS,17008,52.5998385,-6.9208848
00697S,CASTLEKNOCK-PARK,267041,53.3752681,-6.3619871
00714P,LUCAN HEIGHTS,267101,53.359626,-6.4436697
00729F,RATHFARNHAM-HERMITAGE,267115,53.2913714,-6.2789352
00752A,NORTH CITY,268106,53.3513517,-6.2558236
00779U,MAYNOOTH,87066,53.3835447,-6.587465
00788V,LISDOWNEY,97073,52.7889395,-7.3883646
00796U,FRESHFORD,97043,52.7307635,-7.3967371
00860D,FORGNEY,137031,53.5443953,-7.6988621
00885T,RATOATH,167078,53.5031276,-6.4662755
00892Q,BARROWHOUSE,107016,52.9532613,-6.9893985
00895W,BALLINAKILL,107007,52.8777604,-7.3088444
00934G,MULLINGAR NORTH URBAN,237106,53.528376,-7.342557
00941D,EMPER,237040,53.6030953,-7.5831872
00973Q,THE GRANGE,257070,52.997873,-6.74315
00977B,BALLYCONNELL,27006,54.1136857,-7.5819906
00984V,GLENEALY,257038,52.9666341,-6.1445729
01000E,KILTULLAGH,67152,53.2786183,-8.6816856
01013N,NUNS ISLAND,68014,53.2742202,-9.0626292
01086R,CASTLEREAGH,197032,53.7686571,-8.4924537
01116A,SLIGUFF,17045,52.65396,-6.93134
01170G,HOLLYWOOD,267093,53.5841591,-6.2883621
01215C,AGHA,17001,52.7227582,-6.8767292
01272O,KILFAUGHNABEG,47197,51.564569,-9.0873795
01285A,TIPPERARY EAST URBAN,217164,52.4772019,-8.1599787
01300Q,DANESFORT,97031,52.5828769,-7.2416512
01309L,STACKALLAN,167083,53.7107563,-6.620925
01328P,KILTORMER,67151,53.2356206,-8.2743395
01356U,KILNALECK,27061,53.8583069,-7.3180517
01395H,KEEREEN,227050,52.0732106,-7.8235611
01396J,KENMARE,77089,51.8801017,-9.5835203
01415K,RATHRUSH,17041,52.7875272,-6.7997553
01421F,KILSKEER,167055,53.6938579,-6.9959853
01434O,DRUMCAR,147017,53.838053,-6.3361433
01553W,LOUTH,147028,53.9501285,-6.5435177
01554B,ARDEE RURAL,147001,53.8216201,-6.5584044
01569O,THURLES URBAN,217162,52.6801064,-7.8044421
01572D,MINTIAGHS,57122,55.1988576,-7.3933738
01574H,ILLIES,57088,55.15701,-7.3541386
01583I,CARAGH,77040,52.0720144,-9.8325634
01594N,ROSCREA,217152,52.9551789,-7.7984696
01607T,CRANNAGH,197044,53.3753507,-8.0051352
01676P,BALLINDINE,157020,53.6728505,-8.9567623
01687U,CARRIGBOY,47074,51.8343868,-9.0383537
01692N,FIRMOUNT,47153,51.9877808,-8.6979103
01711O,TINNASAGGART,227088,52.1782195,-7.540557
01731U,KILBIXY,237059,53.585042,-7.5372572
01733B,ARDARA,57004,54.7640527,-8.4113885
01795A,NORTH CITY,268106,53.3513517,-6.2558236
01821V,RATHMORE,87081,53.2060287,-6.5697878
01840C,ROSBERCON URBAN,247100,52.3975912,-6.9526612
01862M,TIPPERARY EAST URBAN,217164,52.4770685,-8.1599693
01866U,TAGHBOY,197104,53.4697671,-8.2735544
01867W,CASTLELYONS,47084,52.0826369,-8.2291032
02007A,DROMARD,127060,52.5343874,-8.8733756
02013S,BALLINTOGHER EAST,207007,54.2006449,-8.3649676
02114B,MITCHELSTOWN,47258,52.2662127,-8.2698863
02124E,OLDLEIGHLIN,17037,52.739728,-7.0336882
02237R,MAGORBAN,217126,52.5396762,-7.8158601
02263S,BALLINLOUGH,237008,53.6112835,-7.0370318
02278I,COOMLOGANE,47114,52.0589213,-9.0657421
02322I,CARLINGFORD,147005,54.0371322,-6.1843937
02358G,TEMPLEGLENTAN,127134,52.3946392,-9.1800805
02413L,BIRR URBAN,187013,53.0980052,-7.9096882
02418V,MOLAHIFFE,77138,52.1715992,-9.5477977
02428B,NEWPORT,217139,52.694825,-8.3222579
02439G,AYLE,37003,52.9260682,-8.6486521
02452V,CLOYNE,47105,51.861739,-8.1276595
02670I,NODSTOWN,217141,52.5722306,-7.8932312
02745N,TALLANSTOWN,147037,53.9194496,-6.5497066
02793B,RATHCOR,147032,54.0052896,-6.2237442
02803B,BANTEER,47040,52.1311925,-8.8907678
02813E,SHANAGOLDEN,127131,52.6105253,-9.1051123
02872U,DUNDRUM-SANDYFORD,267080,53.2641698,-6.2294117
02889O,CLONEA,227024,52.0861865,-7.5619837
02905J,RAHINSTOWN,167073,53.444229,-6.803101
02912G,MEELICK,157119,53.9224386,-9.0187502
03132I,DROMMARTIN,77069,52.4606155,-9.7163034
03220F,BIRR URBAN,187013,53.0931765,-7.9092669
03275H,KILLARY,167048,53.8203016,-6.6079867
03294L,GORTAHORK,57081,55.1200955,-8.1332033
03359N,BALLYBODEN,267013,53.2863418,-6.2944063
03607G,LEITRIM,67160,53.1399803,-8.4664135
03633H,NEWTOWNBARRY,247094,52.6550857,-6.652193
03704E,SHANBALLYMORE,47288,52.2187977,-8.4759914
03787L,CLOGHER,147009,53.8060399,-6.3076997
03898U,TEMPLEMALEY,37147,52.8903185,-9.0347438
03917V,PEMBROKE EAST A,268110,53.3433918,-6.2253548
03924S,EASKY WEST,207043,54.286325,-8.9623692
03928D,CLOONADRUM,37031,52.7996527,-9.4200258
