roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
15329U,N ,N ,N ,No subjects through Irish,Catholic
19007S,N ,N ,N ,No subjects through Irish,Catholic
15945T,N ,N ,N ,No subjects through Irish,Catholic
17119T,N ,N ,N ,No subjects through Irish,Catholic
17953F,N ,N ,N ,No subjects through Irish,Catholic
19540N,N ,Y ,N ,No subjects through Irish,Catholic
19538D,N ,N ,N ,No subjects through Irish,Catholic
20208M,N ,Y ,N ,No subjects through Irish,Catholic
91515W,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17069H,N ,Y ,N ,No subjects through Irish,Catholic
15350L,N ,N ,N ,No subjects through Irish,Catholic
13815T,N ,N ,N ,No subjects through Irish,Presbyterian
19814B,N ,N ,N ,All subjects through Irish,Catholic
17858L,N ,N ,N ,No subjects through Irish,Catholic
04230N,N ,N ,N ,No subjects through Irish,Catholic
61301I,Y ,N ,N ,All pupils taught all subjects through Irish,CATHOLIC
18421A,N ,Y ,N ,No subjects through Irish,Catholic
61320M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13335F,N ,N ,N ,No subjects through Irish,Catholic
20461B,N ,N ,N ,All subjects through Irish,Multi Denominational
11873A,N ,N ,N ,No subjects through Irish,Church Of Ireland
17520U,N ,N ,N ,No subjects through Irish,Catholic
16838A,N ,N ,N ,No subjects through Irish,Catholic
17532E,N ,Y ,N ,No subjects through Irish,Catholic
17339K,N ,N ,N ,No subjects through Irish,Catholic
10755M,Y ,N ,N ,All subjects through Irish,Catholic
17810G,N ,N ,N ,No subjects through Irish,Catholic
72560U,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
81012N,Y ,Y ,N ,All pupils taught all subjects through Irish,INTER DENOMINATIONAL
17438M,N ,N ,N ,No subjects through Irish,Catholic
18166K,N ,N ,N ,No subjects through Irish,Church Of Ireland
60841M,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
15301V,N ,N ,N ,No subjects through Irish,Catholic
13839K,N ,N ,N ,No subjects through Irish,Catholic
18323A,N ,N ,N ,No subjects through Irish,Catholic
20092T,N ,Y ,N ,No subjects through Irish,Catholic
18023L,N ,N ,N ,No subjects through Irish,Catholic
19845M,N ,N ,N ,No subjects through Irish,Multi Denominational
17105I,N ,Y ,N ,No subjects through Irish,Catholic
12259K,N ,N ,N ,No subjects through Irish,Catholic
17373K,N ,N ,N ,No subjects through Irish,Catholic
07246U,N ,Y ,N ,No subjects through Irish,Catholic
10050U,N ,N ,N ,No subjects through Irish,Catholic
20294I,N ,N ,N ,No subjects through Irish,Multi Denominational
17510R,N ,N ,N ,No subjects through Irish,Catholic
20164S,N ,N ,N ,No subjects through Irish,Multi Denominational
71470O,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
00714P,N ,N ,N ,No subjects through Irish,Catholic
19363R,N ,Y ,N ,No subjects through Irish,Catholic
14064F,N ,Y ,N ,No subjects through Irish,Catholic
18251B,N ,N ,N ,No subjects through Irish,Presbyterian
20355C,N ,N ,N ,No subjects through Irish,Catholic
16311G,N ,Y ,N ,No subjects through Irish,Catholic
01572D,N ,Y ,N ,No subjects through Irish,Catholic
19419S,N ,N ,N ,No subjects through Irish,Church Of Ireland
19907I,N ,N ,N ,All subjects through Irish,Catholic
20173T,N ,Y ,N ,No subjects through Irish,Catholic
16143L,N ,N ,N ,No subjects through Irish,Catholic
14651U,N ,Y ,N ,No subjects through Irish,Catholic
18391R,N ,N ,N ,No subjects through Irish,Multi Denominational
17930Q,N ,N ,N ,No subjects through Irish,Catholic
17253A,N ,N ,N ,No subjects through Irish,Catholic
20243O,N ,N ,N ,All subjects through Irish,Inter Denominational
60540V,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13902O,N ,N ,N ,No subjects through Irish,Church Of Ireland
71850B,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
11649S,N ,N ,N ,No subjects through Irish,Church Of Ireland
17068F,N ,N ,N ,No subjects through Irish,Catholic
18780F,N ,N ,N ,No subjects through Irish,Catholic
65320J,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19638H,N ,N ,N ,No subjects through Irish,Catholic
16577V,N ,N ,N ,No subjects through Irish,Catholic
19978I,N ,N ,N ,No subjects through Irish,Catholic
07245S,N ,N ,N ,No subjects through Irish,Catholic
60471F,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
06342L,N ,N ,N ,No subjects through Irish,Catholic
19737J,N ,N ,N ,No subjects through Irish,Presbyterian
13819E,N ,N ,N ,No subjects through Irish,Church Of Ireland
17152R,N ,N ,N ,No subjects through Irish,Catholic
14450K,N ,N ,N ,No subjects through Irish,Catholic
15701O,N ,N ,N ,No subjects through Irish,Catholic
15071H,N ,N ,N ,No subjects through Irish,Catholic
03787L,N ,N ,N ,No subjects through Irish,Catholic
60490J,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
12633I,N ,N ,N ,No subjects through Irish,Catholic
00934G,N ,N ,N ,No subjects through Irish,Catholic
17729A,N ,Y ,N ,No subjects through Irish,Catholic
18051Q,N ,N ,N ,No subjects through Irish,Catholic
15367F,N ,N ,N ,No subjects through Irish,Catholic
70760S,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
18650P,N ,N ,N ,No subjects through Irish,Catholic
17735S,N ,N ,N ,No subjects through Irish,Catholic
17304O,N ,N ,N ,No subjects through Irish,Catholic
20046M,N ,N ,N ,All subjects through Irish,Catholic
10120P,N ,N ,N ,No subjects through Irish,Catholic
19257S,N ,Y ,N ,No subjects through Irish,Catholic
71510A,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17324U,N ,N ,N ,No subjects through Irish,Catholic
11525A,N ,N ,N ,No subjects through Irish,Catholic
17832Q,N ,N ,N ,No subjects through Irish,Catholic
11466K,N ,N ,N ,No subjects through Irish,Catholic
17531C,N ,N ,N ,No subjects through Irish,Catholic
20104A,N ,Y ,N ,No subjects through Irish,Catholic
18535P,N ,N ,N ,No subjects through Irish,Catholic
17280D,N ,N ,N ,No subjects through Irish,Catholic
