roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Anna,Mai Rooney,H18HK31,54.2456074,-6.9766257,4781305,principal@stlouisgns.com,primary
00373P,DERAVOY NATIONAL SCHOOL,Deravoy,Emyvale,Co. Monaghan,NULL,Monaghan,Monaghan County Council,Sheenagh,Currie,H18PY11,54.3563977,-7.0243136,4787755,deravoyns@gmail.com,primary
00467B,BALLINSPITTLE N S,Ballycatten,Ballinspittle,Co. Cork,NULL,Cork,Cork County Council,Thomas,Gunning,P17FN27,51.6661349,-8.6114229,214778239,secretaryballinspittlens@gmail.com,primary
00512D,MIDLETON CONVENT N S,Midleton,Co. Cork,NULL,NULL,Cork,Cork County Council,Síle,Uí Mhurchú,P25R248,51.9077343,-8.1646481,214631593,scoilbhridemidleton@gmail.com,primary
00538V,CLOCHAR DAINGEAN,An Phríomhsráid Uachtarach,Daingean Uí Chúis,Co. Chiarraí,NULL,Kerry,Kerry County Council,Micheál,Ó Muircheartaigh,V92AD76,52.1390931,-10.2710203,669151154,bscd01@gmail.com,primary
00606M,MONARD N S,Monard,Solohead,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Mary,O'Dwyer,E34VF97,52.5184427,-8.2234039,6247557,info@monardns.com,primary
00651R,BORRIS MXD N S,Lower Main Street,Borris,Co. Carlow,NULL,Carlow,Carlow County Council,Mary,Moloney,R95RH6F,52.5998385,-6.9208848,599773402,secborrisns@gmail.com,primary
00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,NULL,Dublin,Fingal County Council,Denis,Courtney,D15P820,53.3752681,-6.3619871,18214040,principal@saintbrigids.ie,primary
00714P,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,NULL,Dublin,South Dublin County Council,Dara,Burke,K78YD27,53.359626,-6.4436697,16281857,info@stmarysbnslucan.com,primary
00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,NULL,Dublin,South Dublin County Council,Sr.,Maria Hyland,D14YY28,53.2913714,-6.2789352,14931640,info@loretograngeroad.ie,primary
00752A,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,NULL,NULL,Dublin,Dublin City Council,Deirdre,Gartland,D01P027,53.3513517,-6.2558236,18788103,modesenmix@eircom.net,primary
00779U,PRESENTATION GIRLS PRIMARY SCHOOL,Main Street,Maynooth,Co. Kildare,NULL,Kildare,Kildare County Council,Cora,McGorry,W23X0C6,53.3835447,-6.587465,16286034,info@presgirlsmaynooth.ie,primary
00788V,LISDOWNEY N S,Lisdowney,Ballyragget,Co. Kilkenny,NULL,Kilkenny,Kilkenny County Council,Mairead,Dowling,R95XD45,52.7889395,-7.3883646,568833495,lisdowneyns@gmail.com,primary
00796U,SCOIL LACHTAIN,Freshford,Co. Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Brendan,Tynan,R95RP20,52.7307635,-7.3967371,568832400,stlachtainns@gmail.com,primary
