,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
0,00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,,,Monaghan,Monaghan County Council,4781305,Anna Mai Rooney,principal@stlouisgns.com,H18HK31,N,N,N,No subjects through Irish,Catholic,229.0,,229,"ST. LOUIS GIRLS NATIONAL SCHOOL, Park Road, Monaghan","Mullaghmonaghan, Monaghan, H18 HK31, Ireland",54.2456074,-6.9766257
1,00373P,DERAVOY NATIONAL SCHOOL,Deravoy,Emyvale,Co. Monaghan,,Monaghan,Monaghan County Council,4787755,Sheenagh Currie,deravoyns@gmail.com,H18PY11,N,Y,N,No subjects through Irish,Catholic,29.0,37.0,66,"DERAVOY NATIONAL SCHOOL, Deravoy, Emyvale","Deravoy National School, Derryveagh, Emyvale, Co. Monaghan, Ireland",54.3563977,-7.024313599999999
2,00467B,BALLINSPITTLE N S,Ballycatten,Ballinspittle,Co. Cork,,Cork,Cork County Council,214778239,Thomas Gunning,secretaryballinspittlens@gmail.com,P17FN27,N,N,N,No subjects through Irish,Catholic,112.0,110.0,222,"BALLINSPITTLE N S, Ballycatten, Ballinspittle","Ballycatten Terrace, Co. Cork, Ireland",51.6661349,-8.611422899999999
3,00512D,MIDLETON CONVENT N S,Midleton,Co. Cork,,,Cork,Cork County Council,214631593,Síle Uí Mhurchú,scoilbhridemidleton@gmail.com,P25R248,N,N,N,No subjects through Irish,Catholic,378.0,70.0,448,"MIDLETON CONVENT N S, Midleton, Co. Cork","Ashlin Rd, Castleredmond, Midleton, Co. Cork, P25 R248, Ireland",51.90773429999999,-8.164648099999999
4,00538V,CLOCHAR DAINGEAN,An Phríomhsráid Uachtarach,Daingean Uí Chúis,Co. Chiarraí,,Kerry,Kerry County Council,669151154,Micheál Ó Muircheartaigh,bscd01@gmail.com,V92AD76,Y,N,N,All subjects through Irish,Catholic,80.0,34.0,114,"CLOCHAR DAINGEAN, An Phríomhsráid Uachtarach, Daingean Uí Chúis","Dingle, Co. Kerry, Ireland",52.1390931,-10.2710203
5,00606M,MONARD N S,Monard,Solohead,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,6247557,Mary O'Dwyer,info@monardns.com,E34VF97,N,N,N,No subjects through Irish,Catholic,48.0,48.0,96,"MONARD N S, Monard, Solohead","Monard, Co. Tipperary, Ireland",52.51844269999999,-8.2234039
6,00651R,BORRIS MXD N S,Lower Main Street,Borris,Co. Carlow,,Carlow,Carlow County Council,599773402,Mary Moloney,secborrisns@gmail.com,R95RH6F,N,N,N,No subjects through Irish,Catholic,114.0,101.0,215,"BORRIS MXD N S, Lower Main Street, Borris","Borris, Knocknagundarragh, Borris, Co. Carlow, Ireland",52.5998385,-6.9208848
7,00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,Fingal County Council,18214040,Denis Courtney,principal@saintbrigids.ie,D15P820,N,N,N,No subjects through Irish,Catholic,447.0,502.0,949,"ST BRIGIDS MXD N S, Beechpark Lawn, Castleknock","Beechpark Lawn, Castleknock, Dublin 15, Co. Dublin, D15 P820, Ireland",53.3752681,-6.361987099999999
8,00714P,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16281857,Dara Burke,info@stmarysbnslucan.com,K78YD27,N,N,N,No subjects through Irish,Catholic,,513.0,513,"LUCAN B N S, Chapel Hill, Lucan","Chapel Hill, St. Edmondsbury, Lucan, Co. Dublin, Ireland",53.359626,-6.4436697
9,00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14931640,Sr. Maria Hyland,info@loretograngeroad.ie,D14YY28,N,N,N,No subjects through Irish,Catholic,501.0,,501,"CLOCHAR LORETO N S, Grange Road, Rathfarnham","Grange Rd, Rathfarnham, Dublin 14, Ireland",53.2913714,-6.278935199999999
10,00752A,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,,,Dublin,Dublin City Council,18788103,Deirdre Gartland,modesenmix@eircom.net,D01P027,N,Y,N,No subjects through Irish,Catholic,133.0,143.0,276,"CENTRAL SENIOR MXD N S, Marlborough Street, Dublin 1","Marlborough St, North City, Dublin, Ireland",53.3513517,-6.255823599999999
11,00779U,PRESENTATION GIRLS PRIMARY SCHOOL,Main Street,Maynooth,Co. Kildare,,Kildare,Kildare County Council,16286034,Cora McGorry,info@presgirlsmaynooth.ie,W23X0C6,N,N,N,No subjects through Irish,Catholic,615.0,4.0,619,"PRESENTATION GIRLS PRIMARY SCHOOL, Main Street, Maynooth","2 Dunboyne Rd, Maynooth, Co. Kildare, Ireland",53.38354469999999,-6.587465
12,00788V,LISDOWNEY N S,Lisdowney,Ballyragget,Co. Kilkenny,,Kilkenny,Kilkenny County Council,568833495,Mairead Dowling,lisdowneyns@gmail.com,R95XD45,N,N,N,No subjects through Irish,Catholic,47.0,48.0,95,"LISDOWNEY N S, Lisdowney, Ballyragget","Lisdowney, Ballyragget, Co. Kilkenny, Ireland",52.7889395,-7.3883646
13,00796U,SCOIL LACHTAIN,Freshford,Co. Kilkenny,,,Kilkenny,Kilkenny County Council,568832400,Brendan Tynan,stlachtainns@gmail.com,R95RP20,N,N,N,No subjects through Irish,Catholic,95.0,94.0,189,"SCOIL LACHTAIN, Freshford, Co. Kilkenny","Freshford, Co. Kilkenny, Ireland",52.73076349999999,-7.396737099999998
