,School,FullAddress,Latitude,Longitude
0,"ST. LOUIS GIRLS NATIONAL SCHOOL, Park Road, Monaghan","Mullaghmonaghan, Monaghan, H18 HK31, Ireland",54.2456074,-6.9766257
1,"DERAVOY NATIONAL SCHOOL, Deravoy, Emyvale","Deravoy National School, Derryveagh, Emyvale, Co. Monaghan, Ireland",54.3563977,-7.024313599999999
2,"BALLINSPITTLE N S, Ballycatten, Ballinspittle","Ballycatten Terrace, Co. Cork, Ireland",51.6661349,-8.611422899999999
3,"MIDLETON CONVENT N S, Midleton, Co. Cork","Ashlin Rd, Castleredmond, Midleton, Co. Cork, P25 R248, Ireland",51.90773429999999,-8.164648099999999
4,"CLOCHAR DAINGEAN, An Phríomhsráid Uachtarach, Daingean Uí Chúis","Dingle, Co. Kerry, Ireland",52.1390931,-10.2710203
5,"MONARD N S, Monard, Solohead","Monard, Co. Tipperary, Ireland",52.51844269999999,-8.2234039
6,"BORRIS MXD N S, Lower Main Street, Borris","Borris, Knocknagundarragh, Borris, Co. Carlow, Ireland",52.5998385,-6.9208848
7,"ST BRIGIDS MXD N S, Beechpark Lawn, Castleknock","Beechpark Lawn, Castleknock, Dublin 15, Co. Dublin, D15 P820, Ireland",53.3752681,-6.361987099999999
8,"LUCAN B N S, Chapel Hill, Lucan","Chapel Hill, St. Edmondsbury, Lucan, Co. Dublin, Ireland",53.359626,-6.4436697
9,"CLOCHAR LORETO N S, Grange Road, Rathfarnham","Grange Rd, Rathfarnham, Dublin 14, Ireland",53.2913714,-6.278935199999999
10,"CENTRAL SENIOR MXD N S, Marlborough Street, Dublin 1","Marlborough St, North City, Dublin, Ireland",53.3513517,-6.255823599999999
11,"PRESENTATION GIRLS PRIMARY SCHOOL, Main Street, Maynooth","2 Dunboyne Rd, Maynooth, Co. Kildare, Ireland",53.38354469999999,-6.587465
12,"LISDOWNEY N S, Lisdowney, Ballyragget","Lisdowney, Ballyragget, Co. Kilkenny, Ireland",52.7889395,-7.3883646
13,"SCOIL LACHTAIN, Freshford, Co. Kilkenny","Freshford, Co. Kilkenny, Ireland",52.73076349999999,-7.396737099999998
14,"PRESENTATION CONVENT, Ballymakenny Road, Drogheda","Ballymakenny Rd, Greenbatter, Drogheda, Co. Louth, Ireland",53.7297495,-6.343637200000001
15,"SCOIL NAOMH MICHEAL, St. Mel's Road, Longford","St Mel's Rd, Deanscurragh, Longford, Ireland",53.7294138,-7.7964324
16,"FORGNEY N S, Cloncallow, Ballymahon","Forgney, Collierstown, Co. Longford, Ireland",53.5443953,-7.6988621
17,"AINE NAOFA N S, Fairgreen, Navan","Fair Green, Dillonsland, Navan, Co. Meath, Ireland",53.6514886,-6.6848538
18,"RATOATH JUNIOR N S, Fairyhouse Road, Ratoath","Ratoath, Jamestown, Ratoath, Co. Meath, Ireland",53.5031276,-6.4662755
19,"SHANGANAMORE N S, Shanganamore, Athy","Barrowhouse, Athy, Co. Laois, R14 K695, Ireland",52.95326129999999,-6.9893985
20,"BALLINAKILL MIXED N S, Ballinakill, Portlaoise","Church St, Ballinakill, Co. Laois, Ireland",52.8777604,-7.308844400000001
21,"PRESENTATION CONVENT (JNR), Harbour Street, Mullingar","Box 8 PO, Harbour St, Commons, Mullingar, Co. Westmeath, Ireland",53.52837599999999,-7.342556999999999
22,"S N BHRIDE, Emper, Ballynacargy","Emper, Co. Westmeath, Ireland",53.6030953,-7.583187199999999
23,"GRANGE CON N S, Grangecon, Dunlavin","Grangecon Parks, Grangecon, Co. Wicklow, Ireland",52.997873,-6.74315
24,"BALLYCONNELL N S, Ballyconnell, Tullow","Ballyconnell, Cullyleenan, Ballyconnell, Co. Cavan, Ireland",54.1136857,-7.581990599999999
25,"GLENEALY 1 N S, Glenealy, Co. Wicklow","Ballymanus Lower, Glenealy, Co. Wicklow, Ireland",52.9666341,-6.144572900000001
26,"ESKER N S, Esker, Athenry","Esker, Athenry, Co. Galway, Ireland",53.2786183,-8.6816856
27,"SCOIL CROI IOSA, Newcastle Road, Galway","Presentation Primary School, Newcastle Road, Galway, Ireland",53.27422019999999,-9.0626292
28,"S N POL NAOFA, Church Road, Castlerea","Demesne, Castlerea, Co. Roscommon, Ireland",53.7686571,-8.4924537
29,"BAILE AN CHUILINN N S, Ballinkillen, Muine Bheag","Ballinkillin, Ballinkillen, Co. Carlow, Ireland",52.65396,-6.93134
30,"LEITRIM MXD N S, Leitrim Village, Carrick-on-Shannon","The Dock Arts Centre, St Georges Terrace, Townparks, Carrick-On-Shannon, Co. Leitrim, N41 T2X2, Ireland",53.9450428,-8.096643199999999
31,"S N NA H-AILLE, Westown, Naul","Westown Ave, Hynestown, Naul Village, Co. Dublin, Ireland",53.5841591,-6.2883621
32,"STRAWBERRY HILL B N S, Blarney Street, Sunday's Well","1 Blarney St, Sunday's Well, Cork, Ireland",51.9008431,-8.5002409
33,"NEWTOWN DUNLECKNEY MXD, Newtown, Muinebheag","11 Main St, Clonegah, Co. Carlow, Ireland",52.72275819999999,-6.8767292
34,"S N CHUAN DOIR, Drombeg, Glandore","Drombeg, Glandore, Co. Cork, Ireland",51.564569,-9.087379499999999
35,"TIPPERARY JNR BN S, St Michael's Street, Tipperary","31 St Michael's St, Carrownreddy, Co. Tipperary, E34 X788, Ireland",52.4772019,-8.1599787
36,"ST MICHAELS NATIONAL SCHOOL, Danesfort, Co. Kilkenny","Saint Michael's National School, Pigeonpark, Danesfort, Co. Kilkenny, R95 X527, Ireland",52.5828769,-7.2416512
37,"STACKALLEN N S, Stackallen, Navan","Curniaghanstown, Navan, Co. Meath, Ireland",53.7107563,-6.620925
38,"KILTORMER N S, Kiltormer, Ballinasloe","Kiltormer, Moaty, Ballinasloe, Co. Galway, Ireland",53.2356206,-8.2743395
39,"KILNALECK MIXED N S, Barrack Road, Kilnaleck","Barrack Rd, Co. Cavan, Ireland",53.8583069,-7.318051700000001
40,"AGLISH N S, Aglish, Cappoquin","Aglish, Cappoquin, Co. Waterford, Ireland",52.0732106,-7.823561099999999
41,"TULLOHA NATIONAL SCHOOL, Bonane, Kenmare","Kenmare, Co. Kerry, Ireland",51.8801017,-9.5835203
42,"RATHOE NS, Rathoe, Co. Carlow","Rathoe National School, Rathtoe, Rathoe, Co. Carlow, Ireland",52.7875272,-6.799755299999999
43,"KILSKYRE MIXED N S, Kilskyre, Kells","Kilskyre, Kilskeer, Kells, Co. Meath, Ireland",53.6938579,-6.9959853
44,"S N COLUMCILLE, Tullydonnell, Togher","Tullydonnell, Togher, Co. Louth, Ireland",53.838053,-6.3361433
