School,FullAddress,Latitude,Longitude
"Laurel Hill Colaiste FCJ, South Circular Road, Limerick","Laurel Hill Ave, S Circular Rd, Limerick, V94 CR26, Ireland",52.6549898,-8.6363918
"Colaiste Iosagain, Booterstown, Co Dublin","Stillorgan Rd, Booterstown, Co. Dublin, Ireland",53.3020994,-6.2063058
"Loreto College, St Stephen''s Green, Dublin 2","53 St Stephen's Green, Dublin 2, D02 XE79, Ireland",53.3368283,-6.2563519
"Presentation Brothers College, Mardyke, Cork","Mardyke Walk, Mardyke, Cork, Ireland",51.8975894,-8.4850617
"Gonzaga College, Ranelagh, Dublin 6","Gonzaga College SJ, Sandford Road, (via Sandford Close or Park Lane), Ranelagh, Dublin, D06 KF95, Ireland",53.3169236,-6.2492744
"The Teresian School, Donnybrook, Dublin 4","12 Stillorgan Rd, Dublin 4, D04 E9X5, Ireland",53.3149227,-6.2279599
"Scoil Mhuire, Sidney Place, Cork","2 Sidney Pl, Wellington Rd, Victorian Quarter, Cork, Ireland",51.9022221,-8.4679331
"Muckross Park College, Donnybrook, Dublin 4","Marlborough Road, Donnybrook, Dublin 4, Ireland",53.321763,-6.2424904
"Mount Anville Secondary School, Goatstown, Dublin 14","14 Mount Anville Rd, Mountanville, Dublin, D14 AW90, Ireland",53.2930822,-6.2231361
"Colaiste na Coiribe, Knocknacarra, Galway","Knocknacarra, Ballymoneen Rd, Ballyburke, Galway, H91 RC97, Ireland",53.2695159,-9.1236778
"Holy Child School Killiney, Co Dublin, ","Military Rd, Killiney, Co. Dublin, Ireland",53.2531446,-6.114055
"Blackrock College, Blackrock, Co Dublin (B)","Main St, Blackrock, Co. Dublin, Ireland",53.3009095,-6.1757952
"Castleknock College, Castleknock, Dublin 15","College Rd, Castleknock, Dublin, Co. Dublin, D15 PD95, Ireland",53.3682815,-6.3683856
"Sandford Park School, Ranelagh, Dublin 6","Ranelagh, Dublin 6, Ireland",53.3228313,-6.2497797
"St Conleth''s College, Ballsbridge, Dublin 4","28 Clyde Rd, Dublin, D04 FT98, Ireland",53.3278984,-6.2409483
"Colaiste Eoin, Booterstown, Co Dublin","Stillorgan Rd, Booterstown, Blackrock, Co. Dublin, Ireland",53.3025696,-6.2049226
"Christian Brothers College, Sidney Hill, Cork","10a Wellington Rd, Cork, Ireland",51.9036375,-8.4681664
"Loreto High School Beaufort, Rathfarnham, Dublin 14","Grange Rd, Rathfarnham, Dublin, Ireland",53.2921079,-6.2832087
"Salerno Jesus and Mary Secondary School, Salthill,  Galway","Threadneedle Rd, Salthill, Co. Galway, Ireland",53.2638001,-9.0895561
"Belvedere College, Great Denmark Street, Dublin 1","6 Denmark Street Great, Rotunda, Dublin 1, D01 TK25, Ireland",53.3556691,-6.2616266
"Mount Sackville Secondary School, Chapelizod, Dublin 20","Sisters of St. Joseph of Cluny, Chapelizod, Castleknock, Dublin 20, Co. Dublin, Ireland",53.3599162,-6.3584826
"Colaiste Iognaid SJ, Sea Road, Galway","Sea Rd, Galway, Ireland",53.2693581,-9.0616608
"Loreto College, Foxrock, Dublin 18","Springfield Park, Deansgrange, Dublin 18, D18 FT21, Ireland",53.2728922,-6.1769481
"St Andrew''s College, Blackrock, Co Dublin","55 Booterstown Ave, Williamstown, Dublin, A94 P2N7, Ireland",53.306436,-6.1976358
"Holy Faith Secondary School, Clontarf, Dublin 3","178-180 Clontarf Rd, Clontarf, Dublin, D03 VP04, Ireland",53.360006,-6.1978615
"Alexandra College, Milltown, Dublin 6 (B)","Milltown Rd, Rathmines, Milltown, Co. Dublin, Ireland",53.3109345,-6.2483265
"Mount Mercy College, Model Farm Road, Cork","Model Farm Rd, Cork, Ireland",51.8900721,-8.5169905
"St Mary''s College, Rathmines, Dublin 6","73-79 Rathmines Rd Lower, Rathmines, Dublin 6, D06 CH79, Ireland",53.3274498,-6.2672497
"St Michael''s College, Ailesbury Road, Dublin 4","Ailesbury Rd, Dublin 4, D04 A373, Ireland",53.3193092,-6.2174102
"St Gerard''s School, Bray, Co Wicklow","Thornhill Rd, Oldconnaught, Bray, Co. Dublin, Ireland",53.20457,-6.135569
"Clongowes Wood College, Clane, Co Kildare (B)","Kilcock Road, Castlebrown, Clane, Co. Kildare, W91 DN40, Ireland",53.3114357,-6.6841632
"St Joseph of Cluny, Killiney, Co Dublin","Avondale Rd, Ballinclea, Killiney, Co. Dublin, Ireland",53.2708551,-6.1240119
"Rathdown School, Glenageary, Co Dublin (B)","Glenageary Rd Upper, Glenageary, Dublin, A96 H5N3, Ireland",53.27728,-6.1307468
"Glenstal Abbey School, Murroe, Co Limerick (B)","Glenstal Abbey, Murroe, Co. Limerick, V94 HC84, Ireland",52.6606116,-8.3889565
"St Kilian''s Deutsche Schule, Clonskeagh, Dublin 14","14 Roebuck Rd, Roebuck, Dublin, D14 P7F2, Ireland",53.3039202,-6.2298838
"Rosemont School, Sandyford, Dublin 18","Enniskerry Rd, Sandyford, Dublin, Ireland",53.2610648,-6.2287431
"Colaiste Ide, Dingle, Co Kerry (G) (B)","Burnham East, Co. Kerry, Ireland",52.1267255,-10.3048657
"Ursuline Secondary School, Thurles, Co Tipperary (B)","Mitchel St, Monacocka, Thurles, Co. Tipperary, Ireland",52.6814189,-7.8070551
"The High School, Rathgar, Dublin 6","Danum, Zion Rd, Rathgar, Dublin 6, D06 YR68, Ireland",53.3059009,-6.2729587
"Crescent College Comprehensive, Dooradoyle, Limerick","Dooradoyle Rd, Dooradoyle, Co. Limerick, Ireland",52.6366286,-8.640789
"Gaelcholaiste Luimnigh, Limerick\n, ","Sir Harry's Mall, Limerick, Ireland",52.6665912,-8.6201342
"Dominican College, Drumcondra, Dublin 9","204 Griffith Ave, Ballybough, Dublin 9, D09 W4C8, Ireland",53.373982,-6.2482794
"Loreto Abbey Secondary School, Dalkey, Co Dublin","Loreto Ave, Harbour Rd, Dalkey, Co. Dublin, A96 YC81, Ireland",53.2795181,-6.0996002
"St Mary''s Secondary School, Mallow, Co Cork","Mallow, Co. Cork, Ireland",52.141404,-8.641123
"Gaelcholaiste na Mara, Arklow, Co Wicklow","Pearse Park, Yardland, Arklow, Co. Wicklow, Ireland",52.8013701,-6.1669672
"Colaiste Cois Life, Lucan,  Co Dublin","Coláiste Cois Life, Castle Rd, Glebe, Lucan, Co. Dublin, Ireland",53.3496817,-6.4356457
"St Wolstan''s Community School, Celbridge, Co Kildare","Shackleton Rd, Ballymakealy Lower, Celbridge, Co. Kildare, Ireland",53.3339478,-6.5612202
"Regina Mundi College, Douglas Road, Cork","Ballinlough, Cork, Ireland",51.8835043,-8.4437439
"Ardscoil Ris, North Circular Road, Limerick","Ardscoil Rís, N Circular Rd, Limerick, Co. Limerick, V94 V602, Ireland",52.665479,-8.6408913
"Colaiste Pobail Osrai, Ormonde Road, Kilkenny","6-7 Ormonde Rd, Kilkenny, Co. Kilkenny, Ireland",52.6487452,-7.2530582
"Notre Dame School, Dundrum, Dublin 14","00 Upper Churchtown Road, Churchtown, Churchtown Lower, Dublin 14, Ireland",53.293852,-6.250994
"Catholic University School, Lower Leeson Street, Dublin 2","89 Leeson Street Lower, Dublin 2, D02 KC81, Ireland",53.3352708,-6.2558832
"Newbridge College, Newbridge, Co Kildare","Common, Newbridge, Co. Kildare, Ireland",53.188628,-6.7934194
"Coláiste Naomh Mhuire, Naas, Co Kildare","Sallins Rd, Naas West, Naas, Co. Kildare, Ireland",53.2202205,-6.6637766
"Scoil Mhuire, Trim, Co Meath","Patrick St, Trim, Co. Meath, Ireland",53.5524517,-6.790107
"Ardscoil Ris, Griffith Avenue, Dublin 9","Griffith Ave, Grace Park, Dublin 09, Ireland",53.3692639,-6.228192
"St Joseph''s College, Nun''s Island, Galway","Nun's Island, Galway, Ireland",53.2725622,-9.0579615
"Maynooth Community College, Maynooth, Co Kildare","Maynooth Education Campus, Moyglare Road, Maynooth, Co. Kildare, Ireland",53.3843289,-6.5954684
"Loreto Secondary School, St Michael''s, Navan","Saint Michael's, Athlumney, Navan, Co. Meath, C15 YF83, Ireland",53.6520087,-6.6762401
"Castleknock Community College, Castleknock, Dublin 15","Carpenterstown Road, Diswellstown, Dublin, Ireland",53.371686,-6.390483
"Wesley College, Ballinteer, Dublin 16 (B)","36 R826, Sandyford, Dublin, Ireland",53.2785599,-6.2420009
"St Angela''s College, St Patrick''s Hill, Cork","St Patrick's Hill, Cork, T23 FXY8, Ireland",51.9028905,-8.4701155
"Santa Sabina Dominican College, Sutton, Dublin 13","Santa Sabina, Greenfield Rd, Howth Demesne, Dublin, Ireland",53.3874264,-6.1004037
