,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
0,60010P,Loreto Secondary School,Brick Lane,Balbriggan,Co Dublin,,Dublin,Fingal County Council,K32R248,MS. ANN M MCDONOUGH,office@loretobalbriggan.ie,018411594,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,1282.0,,1282,"Loreto Secondary School, Brick Lane, Balbriggan",0,"Brick Lane, Tankardstown, Balbriggan, Co. Dublin, Ireland",53.6125785,-6.185803399999999
1,60021U,St Marys Secondary School,Baldoyle,D13 W208,,,Dublin,Fingal County Council,D13W208,MS. EDEL GREENE,info@stmarysbaldoyle.org,018325591,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,274.0,,274,"St Marys Secondary School, Baldoyle, D13 W208",1,"13 Main St, Baldoyle, Dublin, Ireland",53.3969916,-6.126854
2,60030V,Blackrock College,Blackrock College,Co Dublin,,,Dublin,Dun Laoghaire Rathdown,A94FK84,MR. ALAN T MAC GINTY,amacginty@blackrockcollege.com,012888681,N,N,N,Y,Mixed,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,1024.0,1024,"Blackrock College, Blackrock College, Co Dublin",2,"Rock Rd, Williamstown, Dublin, Ireland",53.3032244,-6.191163
3,60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94TW98,MR. ALAN JAMES THOMAS ROGAN,arogan@willowparkschool.ie,012881651,N,N,N,Y,Mixed,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,207.0,207,"Willow Park School, Rock Road, Blackrock",3,"Rock Rd, Williamstown, Blackrock, Co. Dublin, Ireland",53.30602930000001,-6.195331299999999
4,60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,A94E122,MR. P.S DE POIRE,ce@eoiniosagain.ie,012884002,N,N,N,N,Day,Boys,All pupils taught all subjects through Irish,Secondary,CATHOLIC,,496.0,496,"Coláiste Eoin, Baile an Bhóthair, Bóthair Stigh Lorgan",4,"Stillorgan Rd, Booterstown, Blackrock, Co. Dublin, Ireland",53.3025696,-6.2049226
5,60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,An Charraig Dhubh,Co Átha Cliath,Dublin,Dun Laoghaire Rathdown,A94KV12,MR. SEAN DELAP,eolas@eoiniosgain.ie,012884028,N,N,N,N,Day,Girls,All pupils taught all subjects through Irish,Secondary,CATHOLIC,485.0,,485,"Coláiste Íosagáin, Bóthar Stigh Lorgan, Baile an Bhóthair",5,"Stillorgan Rd, Booterstown, Co. Dublin, Ireland",53.3020994,-6.2063058
6,60050E,Oatlands College,Mount Merrion,Co Dublin,,,Dublin,Dun Laoghaire Rathdown,A94HX38,MS. CAROLINE GARRETT,admin@oatlands.net,012888533,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,545.0,545,"Oatlands College, Mount Merrion, Co Dublin",6,"Mount Merrion, Dublin, Ireland",53.29268949999999,-6.202642099999999
7,60070K,Dominican College,Dominican College Sion Hill,Cross Avenue,Blackrock,Co Dublin,Dublin,Dun Laoghaire Rathdown,A94TP97,MISS SHEILA DRUM,admin@sionhillcollege.ie,012886791,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,437.0,,437,"Dominican College, Dominican College Sion Hill, Cross Avenue",7,"Cross Ave, Blackrock, Dublin, A94 TP97, Ireland",53.3013306,-6.1892508
8,60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94H294,MR. JOHN (TONY) COLLISON,info@rockfordmanor.ie,01 2801522,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,277.0,,277,"Rockford Manor Secondary School, Stradbrook Rd, Blackrock",8,"Rockford Manor secondary school, Stradbrook Rd, Blackrock, Dublin, Ireland",53.287178,-6.162801
9,60090Q,Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96NX44,MR. BRIAN MOORE,admin@rathdownschool.ie,012853133,N,N,N,Y,Mixed,Girls,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,263.0,,263,"Rathdown School, Upper Glenageary Road, Glenageary",9,"Glenageary Rd Upper, Glenageary, Dublin, A96 H5N3, Ireland",53.2773709,-6.1305882
