G-ID,Total (2004 to 2015)
201,119233
2032,109421
2016,75003
2035,70336
2031,69796
20206,61392
20475,61305
20417,56711
20288,47082
2036,40063
20419,38486
2030,37511
2023,37486
2052,36994
2045,35120
203,33889
204,33683
2012,33446
2025,33026
2047,32724
2015,32145
20228,32116
2013,31365
2034,30797
2040,30527
2033,29255
2019,29144
20418,27965
20154,27695
20379,27663
20141,27609
209,27373
20300,26028
20619,25606
2021,25105
20592,24950
20447,24449
2017,23611
2083,22921
2027,22837
205,21425
2089,21053
208,21047
20172,20777
2078,20243
2010,20081
20111,19443
207,19408
20302,18838
2044,18686
20290,17943
2028,17817
206,16770
2018,16616
20134,16555
20251,15650
20396,15233
2072,14986
20675,14813
2042,14702
2024,14600
20150,14420
2039,13649
2026,13254
2096,12870
20662,12555
20551,12362
20183,11720
20213,11529
20185,11410
20243,11374
20199,10825
2043,10809
2029,10639
2077,10516
20505,10463
20320,10338
20562,10226
20292,9911
20293,9887
20180,9635
20145,9575
20294,9392
20160,9172
20142,9160
20291,8885
2051,8567
20521,8543
20298,8373
20304,8317
20264,8022
20220,8002
20328,7923
20192,7870
20452,7816
2014,7707
2011,7587
20306,7517
20669,7441
2074,7205
2064,7110
20404,7088
20146,7027
20280,6944
20671,6791
20586,6722
20543,6665
20335,6618
2058,6490
20440,6475
20628,6417
20312,6247
20605,6218
20340,6040
20514,6022
20114,5742
20143,5686
2022,5638
20295,5621
2065,5570
20332,5446
20163,5372
20490,5358
20476,5212
20125,5202
20308,5074
20626,4867
20256,4776
20303,4762
20352,4689
20138,4664
2073,4474
20115,4318
2069,4189
2079,4123
20455,4096
20361,4030
20274,3951
20258,3870
2067,3813
20262,3770
20317,3697
20657,3681
20159,3679
20462,3667
20658,3659
20148,3591
20343,3527
20572,3509
20112,3469
20414,3467
20322,3450
20468,3436
20162,3334
20182,3262
20688,3232
20655,3224
20682,3162
20156,3091
20507,3079
20355,3074
20208,3043
20461,3012
20537,2994
2081,2986
20416,2975
20369,2897
20407,2886
20149,2858
20436,2854
20231,2830
20200,2814
20630,2796
20441,2705
20105,2662
20181,2646
20117,2630
20538,2586
20430,2582
20272,2551
20202,2541
20201,2541
2085,2491
20687,2490
