Crime,Total (2004 to 2015)
Theft and related offences,911397
Public order and other social code offences,589871
Damage to property and to the environment,440343
Burglary and related offences,312631
Controlled drug offences,201893
"Attempts or threats to murder, assaults, harassments and related offences",194696
Dangerous or negligent acts,156079
"Offences against government, justice procedures and organisation of crime",121126
"Fraud, deception and related offences",59817
Weapons and Explosives Offences,37725
"Robbery, extortion and hijacking offences",31560
Kidnapping and related offences,1303
