S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
00359V,Park Road,Monaghan,54.245607400000004,-6.9766257
00373P,Deravoy,Monaghan,54.35639770000001,-7.0243136
00467B,Ballycatten,Cork,51.666134899999996,-8.6114229
00512D,Midleton,Cork,51.9077343,-8.1646481
00538V,An Phríomhsráid Uachtarach,Kerry,52.139093100000004,-10.2710203
00606M,Monard,Tipperary,52.5184427,-8.223403900000001
00651R,Lower Main Street,Carlow,52.599838500000004,-6.9208848
00697S,Beechpark Lawn,Dublin,53.3752681,-6.3619871
00714P,Chapel Hill,Dublin,53.359626,-6.4436697
00729F,Grange Road,Dublin,53.2913714,-6.2789352
00752A,Marlborough Street,Dublin,53.3513517,-6.255823599999999
00779U,Main Street,Kildare,53.3835447,-6.587464999999999
00788V,Lisdowney,Kilkenny,52.788939500000005,-7.388364599999999
00796U,Freshford,Kilkenny,52.7307635,-7.3967371
00851C,Ballymakenny Road,Louth,53.7297495,-6.3436372
00856M,St. Mel's Road,Longford,53.72941379999999,-7.7964324000000005
00860D,Cloncallow,Longford,53.5443953,-7.6988620999999995
00883P,Fairgreen,Meath,53.65148860000001,-6.6848538
00885T,Fairyhouse Road,Meath,53.503127600000006,-6.4662755
00892Q,Shanganamore,Laois,52.9532613,-6.9893985
00895W,Ballinakill,Laois,52.87776039999999,-7.3088444
00934G,Harbour Street,Westmeath,53.528376,-7.342557000000001
00941D,Emper,Westmeath,53.6030953,-7.5831872
00973Q,Grangecon,Wicklow,52.997873,-6.74315
00977B,Ballyconnell,Carlow,54.113685700000005,-7.5819906
00984V,Glenealy,Wicklow,52.9666341,-6.144572900000001
01000E,Esker,Galway,53.2786183,-8.6816856
01013N,Newcastle Road,Galway,53.2742202,-9.062629199999998
01086R,Church Road,Roscommon,53.7686571,-8.4924537
01116A,Ballinkillen,Carlow,52.65396,-6.93134
01125B,Leitrim Village,Leitrim,53.945042799999996,-8.0966432
01170G,Westown,Dublin,53.5841591,-6.2883621
01197D,Blarney Street,Cork,51.9008431,-8.5002409
01215C,Newtown,Carlow,52.72275820000001,-6.8767292
01272O,Drombeg,Cork,51.564569,-9.087379499999999
01285A,St Michael's Street,Tipperary,52.4772019,-8.1599787
01300Q,Danesfort,Kilkenny,52.582876899999995,-7.241651200000001
01309L,Stackallen,Meath,53.7107563,-6.620925
01328P,Kiltormer,Galway,53.2356206,-8.2743395
01356U,Barrack Road,Cavan,53.8583069,-7.318051700000001
01395H,Aglish,Waterford,52.0732106,-7.823561099999999
01396J,Bonane,Kerry,51.880101700000004,-9.5835203
01415K,Rathoe,Carlow,52.7875272,-6.7997553
01421F,Kilskyre,Meath,53.693857900000005,-6.9959853
01434O,Tullydonnell,Louth,53.838053,-6.3361433
01553W,Louth Village,Louth,53.950128500000005,-6.543517700000001
01554B,Ballapousta,Louth,53.8216201,-6.558404400000001
01569O,Ballycahill,Tipperary,52.6801064,-7.8044421
01572D,Carrowhill,Donegal,55.1988576,-7.3933738
01574H,Connaghkinnego,Donegal,55.15701,-7.3541386
01583I,Glannagilliagh,Kerry,52.0720144,-9.8325634
01594N,Goldengrove Road,Tipperary,52.9551789,-7.7984696
01607T,Cornafulla,Roscommon,53.3753507,-8.0051352
01676P,Ballindine,Mayo,53.6728505,-8.956762300000001
01687U,Dromleigh,Cork,51.8343868,-9.0383537
01692N,Firmount,Cork,51.987780799999996,-8.6979103
01711O,Kilrossanty,Waterford,52.1782195,-7.540557000000001
01731U,Ballynacargy,Westmeath,53.585042,-7.5372572
01733B,Back Road,Donegal,54.7640527,-8.4113885
01782O,Barnacleagh,Wicklow,52.79827879999999,-6.1561499
01795A,Marlborough Street,Dublin,53.3513517,-6.255823599999999
01821V,Rathmore,Kildare,53.206028700000005,-6.569787799999999
01840C,Rosbercon,Wexford,52.3975912,-6.9526612000000005
01862M,St Michael's Street,Tipperary,52.47706850000001,-8.1599693
01866U,Ballyforan,Roscommon,53.4697671,-8.2735544
01867W,Castlelyons,Cork,52.0826369,-8.2291032
02007A,Croagh,Limerick,52.53438739999999,-8.8733756
