G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
201,494.67,5936,576.5,6918,356.42,4277,535.92,6431,133.25,1599,269.83,3238,2.42,29,138.92,1667,2474.67,29696,169.75,2037,4680.17,56162,103.58,1243
203,117.17,1406,374.5,4494,146.92,1763,398.67,4784,62.5,750,56.08,673,0.75,9,195.83,2350,597.08,7165,27.58,331,826.25,9915,20.75,249
204,144.75,1737,267.08,3205,153.08,1837,494.83,5938,104.17,1250,42.5,510,1.67,20,207.83,2494,481.42,5777,62.25,747,798.17,9578,49.17,590
205,57.5,690,288.08,3457,53.08,637,206.33,2476,77.67,932,49.17,590,0.83,10,14.42,173,272.75,3273,20.83,250,729.5,8754,15.25,183
206,36.0,432,248.83,2986,50.75,609,206.83,2482,32.0,384,29.17,350,1.42,17,14.67,176,175.0,2100,15.42,185,576.17,6914,11.25,135
207,70.5,846,245.5,2946,98.67,1184,359.5,4314,58.67,704,34.33,412,1.33,16,22.17,266,188.25,2259,28.33,340,487.67,5852,22.42,269
208,94.25,1131,223.92,2687,199.75,2397,385.33,4624,63.83,766,23.25,279,0.33,4,25.75,309,220.42,2645,34.92,419,443.58,5323,38.58,463
209,96.33,1156,194.83,2338,280.75,3369,419.42,5033,103.42,1241,34.75,417,1.0,12,58.83,706,458.42,5501,30.08,361,561.67,6740,41.58,499
2010,69.0,828,191.67,2300,83.0,996,279.5,3354,95.42,1145,43.67,524,1.42,17,26.17,314,195.0,2340,20.75,249,652.67,7832,15.17,182
2011,39.75,477,81.58,979,20.92,251,119.83,1438,22.67,272,11.58,139,0.17,2,7.42,89,141.92,1703,9.75,117,173.0,2076,3.67,44
2012,115.83,1390,293.08,3517,213.92,2567,520.0,6240,127.5,1530,59.92,719,1.33,16,67.83,814,332.67,3992,48.25,579,957.33,11488,49.5,594
2013,135.58,1627,197.75,2373,275.08,3301,431.92,5183,89.33,1072,35.0,420,1.08,13,155.0,1860,276.25,3315,35.42,425,926.67,11120,54.67,656
2014,24.17,290,104.75,1257,19.67,236,92.42,1109,35.17,422,12.17,146,0.25,3,4.33,52,58.0,696,10.08,121,275.67,3308,5.58,67
2015,108.5,1302,434.67,5216,235.33,2824,414.5,4974,97.75,1173,51.0,612,0.92,11,36.17,434,395.5,4746,35.83,430,847.08,10165,21.5,258
2016,346.08,4153,831.08,9973,523.92,6287,1045.83,12550,249.92,2999,84.92,1019,2.58,31,305.25,3663,819.67,9836,103.58,1243,1841.0,22092,96.42,1157
2017,80.92,971,288.92,3467,140.67,1688,294.75,3537,46.92,563,45.75,549,0.75,9,19.08,229,284.67,3416,25.83,310,725.58,8707,13.75,165
2018,49.75,597,238.42,2861,114.92,1379,236.67,2840,73.83,886,27.83,334,0.42,5,13.83,166,137.42,1649,21.25,255,455.83,5470,14.5,174
2019,117.92,1415,309.25,3711,93.92,1127,386.25,4635,124.83,1498,51.17,614,0.92,11,24.58,295,307.58,3691,57.83,694,933.17,11198,21.25,255
