G-ID,Crime,Total (2004 to 2015)
201,"Attempts or threats to murder, assaults, harassments and related offences",5936
201,Burglary and related offences,6918
201,Controlled drug offences,4277
201,Damage to property and to the environment,6431
201,Dangerous or negligent acts,1599
201,"Fraud, deception and related offences",3238
201,Kidnapping and related offences,29
201,"Offences against government, justice procedures and organisation of crime",1667
201,Public order and other social code offences,29696
201,"Robbery, extortion and hijacking offences",2037
201,Theft and related offences,56162
201,Weapons and Explosives Offences,1243
203,"Attempts or threats to murder, assaults, harassments and related offences",1406
203,Burglary and related offences,4494
203,Controlled drug offences,1763
203,Damage to property and to the environment,4784
203,Dangerous or negligent acts,750
203,"Fraud, deception and related offences",673
203,Kidnapping and related offences,9
203,"Offences against government, justice procedures and organisation of crime",2350
203,Public order and other social code offences,7165
203,"Robbery, extortion and hijacking offences",331
203,Theft and related offences,9915
203,Weapons and Explosives Offences,249
204,"Attempts or threats to murder, assaults, harassments and related offences",1737
204,Burglary and related offences,3205
204,Controlled drug offences,1837
204,Damage to property and to the environment,5938
204,Dangerous or negligent acts,1250
204,"Fraud, deception and related offences",510
204,Kidnapping and related offences,20
204,"Offences against government, justice procedures and organisation of crime",2494
204,Public order and other social code offences,5777
204,"Robbery, extortion and hijacking offences",747
204,Theft and related offences,9578
204,Weapons and Explosives Offences,590
205,"Attempts or threats to murder, assaults, harassments and related offences",690
205,Burglary and related offences,3457
205,Controlled drug offences,637
205,Damage to property and to the environment,2476
205,Dangerous or negligent acts,932
205,"Fraud, deception and related offences",590
205,Kidnapping and related offences,10
205,"Offences against government, justice procedures and organisation of crime",173
205,Public order and other social code offences,3273
205,"Robbery, extortion and hijacking offences",250
205,Theft and related offences,8754
205,Weapons and Explosives Offences,183
206,"Attempts or threats to murder, assaults, harassments and related offences",432
206,Burglary and related offences,2986
206,Controlled drug offences,609
206,Damage to property and to the environment,2482
206,Dangerous or negligent acts,384
206,"Fraud, deception and related offences",350
206,Kidnapping and related offences,17
206,"Offences against government, justice procedures and organisation of crime",176
206,Public order and other social code offences,2100
206,"Robbery, extortion and hijacking offences",185
206,Theft and related offences,6914
206,Weapons and Explosives Offences,135
207,"Attempts or threats to murder, assaults, harassments and related offences",846
207,Burglary and related offences,2946
207,Controlled drug offences,1184
207,Damage to property and to the environment,4314
207,Dangerous or negligent acts,704
207,"Fraud, deception and related offences",412
207,Kidnapping and related offences,16
207,"Offences against government, justice procedures and organisation of crime",266
207,Public order and other social code offences,2259
207,"Robbery, extortion and hijacking offences",340
207,Theft and related offences,5852
207,Weapons and Explosives Offences,269
208,"Attempts or threats to murder, assaults, harassments and related offences",1131
208,Burglary and related offences,2687
208,Controlled drug offences,2397
208,Damage to property and to the environment,4624
208,Dangerous or negligent acts,766
208,"Fraud, deception and related offences",279
208,Kidnapping and related offences,4
208,"Offences against government, justice procedures and organisation of crime",309
208,Public order and other social code offences,2645
208,"Robbery, extortion and hijacking offences",419
208,Theft and related offences,5323
208,Weapons and Explosives Offences,463
209,"Attempts or threats to murder, assaults, harassments and related offences",1156
209,Burglary and related offences,2338
209,Controlled drug offences,3369
209,Damage to property and to the environment,5033
209,Dangerous or negligent acts,1241
209,"Fraud, deception and related offences",417
209,Kidnapping and related offences,12
209,"Offences against government, justice procedures and organisation of crime",706
209,Public order and other social code offences,5501
209,"Robbery, extortion and hijacking offences",361
209,Theft and related offences,6740
209,Weapons and Explosives Offences,499
2010,"Attempts or threats to murder, assaults, harassments and related offences",828
2010,Burglary and related offences,2300
2010,Controlled drug offences,996
2010,Damage to property and to the environment,3354
2010,Dangerous or negligent acts,1145
2010,"Fraud, deception and related offences",524
2010,Kidnapping and related offences,17
2010,"Offences against government, justice procedures and organisation of crime",314
2010,Public order and other social code offences,2340
2010,"Robbery, extortion and hijacking offences",249
2010,Theft and related offences,7832
2010,Weapons and Explosives Offences,182
2011,"Attempts or threats to murder, assaults, harassments and related offences",477
2011,Burglary and related offences,979
2011,Controlled drug offences,251
2011,Damage to property and to the environment,1438
2011,Dangerous or negligent acts,272
2011,"Fraud, deception and related offences",139
2011,Kidnapping and related offences,2
2011,"Offences against government, justice procedures and organisation of crime",89
2011,Public order and other social code offences,1703
2011,"Robbery, extortion and hijacking offences",117
2011,Theft and related offences,2076
2011,Weapons and Explosives Offences,44
2012,"Attempts or threats to murder, assaults, harassments and related offences",1390
2012,Burglary and related offences,3517
2012,Controlled drug offences,2567
2012,Damage to property and to the environment,6240
2012,Dangerous or negligent acts,1530
2012,"Fraud, deception and related offences",719
2012,Kidnapping and related offences,16
2012,"Offences against government, justice procedures and organisation of crime",814
2012,Public order and other social code offences,3992
2012,"Robbery, extortion and hijacking offences",579
2012,Theft and related offences,11488
2012,Weapons and Explosives Offences,594
2013,"Attempts or threats to murder, assaults, harassments and related offences",1627
2013,Burglary and related offences,2373
2013,Controlled drug offences,3301
2013,Damage to property and to the environment,5183
2013,Dangerous or negligent acts,1072
2013,"Fraud, deception and related offences",420
2013,Kidnapping and related offences,13
2013,"Offences against government, justice procedures and organisation of crime",1860
2013,Public order and other social code offences,3315
2013,"Robbery, extortion and hijacking offences",425
2013,Theft and related offences,11120
2013,Weapons and Explosives Offences,656
2014,"Attempts or threats to murder, assaults, harassments and related offences",290
2014,Burglary and related offences,1257
2014,Controlled drug offences,236
2014,Damage to property and to the environment,1109
2014,Dangerous or negligent acts,422
2014,"Fraud, deception and related offences",146
2014,Kidnapping and related offences,3
2014,"Offences against government, justice procedures and organisation of crime",52
2014,Public order and other social code offences,696
2014,"Robbery, extortion and hijacking offences",121
2014,Theft and related offences,3308
2014,Weapons and Explosives Offences,67
2015,"Attempts or threats to murder, assaults, harassments and related offences",1302
2015,Burglary and related offences,5216
2015,Controlled drug offences,2824
2015,Damage to property and to the environment,4974
2015,Dangerous or negligent acts,1173
2015,"Fraud, deception and related offences",612
2015,Kidnapping and related offences,11
2015,"Offences against government, justice procedures and organisation of crime",434
2015,Public order and other social code offences,4746
2015,"Robbery, extortion and hijacking offences",430
2015,Theft and related offences,10165
2015,Weapons and Explosives Offences,258
2016,"Attempts or threats to murder, assaults, harassments and related offences",4153
2016,Burglary and related offences,9973
2016,Controlled drug offences,6287
2016,Damage to property and to the environment,12550
2016,Dangerous or negligent acts,2999
2016,"Fraud, deception and related offences",1019
2016,Kidnapping and related offences,31
2016,"Offences against government, justice procedures and organisation of crime",3663
2016,Public order and other social code offences,9836
2016,"Robbery, extortion and hijacking offences",1243
2016,Theft and related offences,22092
2016,Weapons and Explosives Offences,1157
2017,"Attempts or threats to murder, assaults, harassments and related offences",971
2017,Burglary and related offences,3467
2017,Controlled drug offences,1688
2017,Damage to property and to the environment,3537
2017,Dangerous or negligent acts,563
2017,"Fraud, deception and related offences",549
2017,Kidnapping and related offences,9
2017,"Offences against government, justice procedures and organisation of crime",229
2017,Public order and other social code offences,3416
2017,"Robbery, extortion and hijacking offences",310
2017,Theft and related offences,8707
2017,Weapons and Explosives Offences,165
2018,"Attempts or threats to murder, assaults, harassments and related offences",597
2018,Burglary and related offences,2861
2018,Controlled drug offences,1379
2018,Damage to property and to the environment,2840
2018,Dangerous or negligent acts,886
2018,"Fraud, deception and related offences",334
2018,Kidnapping and related offences,5
2018,"Offences against government, justice procedures and organisation of crime",166
2018,Public order and other social code offences,1649
2018,"Robbery, extortion and hijacking offences",255
2018,Theft and related offences,5470
2018,Weapons and Explosives Offences,174
2019,"Attempts or threats to murder, assaults, harassments and related offences",1415
2019,Burglary and related offences,3711
2019,Controlled drug offences,1127
2019,Damage to property and to the environment,4635
2019,Dangerous or negligent acts,1498
2019,"Fraud, deception and related offences",614
2019,Kidnapping and related offences,11
2019,"Offences against government, justice procedures and organisation of crime",295
2019,Public order and other social code offences,3691
2019,"Robbery, extortion and hijacking offences",694
2019,Theft and related offences,11198
2019,Weapons and Explosives Offences,255
2021,"Attempts or threats to murder, assaults, harassments and related offences",1982
2021,Burglary and related offences,1920
2021,Controlled drug offences,2570
2021,Damage to property and to the environment,5193
2021,Dangerous or negligent acts,1011
2021,"Fraud, deception and related offences",306
2021,Kidnapping and related offences,15
2021,"Offences against government, justice procedures and organisation of crime",407
2021,Public order and other social code offences,3764
2021,"Robbery, extortion and hijacking offences",539
2021,Theft and related offences,6815
2021,Weapons and Explosives Offences,583
2022,"Attempts or threats to murder, assaults, harassments and related offences",136
2022,Burglary and related offences,46
2022,Controlled drug offences,411
2022,Damage to property and to the environment,286
2022,Dangerous or negligent acts,258
2022,"Fraud, deception and related offences",992
2022,Kidnapping and related offences,60
2022,"Offences against government, justice procedures and organisation of crime",110
2022,Public order and other social code offences,1000
2022,"Robbery, extortion and hijacking offences",3
2022,Theft and related offences,2174
2022,Weapons and Explosives Offences,162
2023,"Attempts or threats to murder, assaults, harassments and related offences",1559
2023,Burglary and related offences,3294
2023,Controlled drug offences,5564
2023,Damage to property and to the environment,6357
2023,Dangerous or negligent acts,1599
2023,"Fraud, deception and related offences",495
2023,Kidnapping and related offences,17
2023,"Offences against government, justice procedures and organisation of crime",1215
2023,Public order and other social code offences,5008
2023,"Robbery, extortion and hijacking offences",742
2023,Theft and related offences,10734
2023,Weapons and Explosives Offences,902
2024,"Attempts or threats to murder, assaults, harassments and related offences",635
2024,Burglary and related offences,2228
2024,Controlled drug offences,708
2024,Damage to property and to the environment,2821
2024,Dangerous or negligent acts,386
2024,"Fraud, deception and related offences",278
2024,Kidnapping and related offences,5
2024,"Offences against government, justice procedures and organisation of crime",104
2024,Public order and other social code offences,2173
2024,"Robbery, extortion and hijacking offences",162
2024,Theft and related offences,5001
2024,Weapons and Explosives Offences,99
2025,"Attempts or threats to murder, assaults, harassments and related offences",1553
2025,Burglary and related offences,2892
2025,Controlled drug offences,3642
2025,Damage to property and to the environment,4506
2025,Dangerous or negligent acts,1618
2025,"Fraud, deception and related offences",722
2025,Kidnapping and related offences,19
2025,"Offences against government, justice procedures and organisation of crime",2112
2025,Public order and other social code offences,4871
2025,"Robbery, extortion and hijacking offences",305
2025,Theft and related offences,10524
2025,Weapons and Explosives Offences,262
2026,"Attempts or threats to murder, assaults, harassments and related offences",596
2026,Burglary and related offences,1981
2026,Controlled drug offences,891
2026,Damage to property and to the environment,2456
2026,Dangerous or negligent acts,508
2026,"Fraud, deception and related offences",260
2026,Kidnapping and related offences,3
2026,"Offences against government, justice procedures and organisation of crime",192
2026,Public order and other social code offences,1782
2026,"Robbery, extortion and hijacking offences",363
2026,Theft and related offences,4036
2026,Weapons and Explosives Offences,186
2027,"Attempts or threats to murder, assaults, harassments and related offences",934
2027,Burglary and related offences,3502
2027,Controlled drug offences,962
2027,Damage to property and to the environment,3970
2027,Dangerous or negligent acts,824
2027,"Fraud, deception and related offences",444
2027,Kidnapping and related offences,3
2027,"Offences against government, justice procedures and organisation of crime",243
2027,Public order and other social code offences,2640
2027,"Robbery, extortion and hijacking offences",551
2027,Theft and related offences,8533
2027,Weapons and Explosives Offences,231
2028,"Attempts or threats to murder, assaults, harassments and related offences",831
2028,Burglary and related offences,1579
2028,Controlled drug offences,1402
2028,Damage to property and to the environment,4001
2028,Dangerous or negligent acts,614
2028,"Fraud, deception and related offences",312
2028,Kidnapping and related offences,5
2028,"Offences against government, justice procedures and organisation of crime",224
2028,Public order and other social code offences,2282
2028,"Robbery, extortion and hijacking offences",344
2028,Theft and related offences,6013
2028,Weapons and Explosives Offences,210
2029,"Attempts or threats to murder, assaults, harassments and related offences",376
2029,Burglary and related offences,1683
2029,Controlled drug offences,491
2029,Damage to property and to the environment,1867
2029,Dangerous or negligent acts,377
2029,"Fraud, deception and related offences",179
2029,Kidnapping and related offences,4
2029,"Offences against government, justice procedures and organisation of crime",113
2029,Public order and other social code offences,1445
2029,"Robbery, extortion and hijacking offences",177
2029,Theft and related offences,3811
2029,Weapons and Explosives Offences,116
2030,"Attempts or threats to murder, assaults, harassments and related offences",1600
2030,Burglary and related offences,3013
2030,Controlled drug offences,4289
2030,Damage to property and to the environment,7385
2030,Dangerous or negligent acts,1320
2030,"Fraud, deception and related offences",607
2030,Kidnapping and related offences,20
2030,"Offences against government, justice procedures and organisation of crime",561
2030,Public order and other social code offences,5093
2030,"Robbery, extortion and hijacking offences",1013
2030,Theft and related offences,11683
2030,Weapons and Explosives Offences,927
2031,"Attempts or threats to murder, assaults, harassments and related offences",2603
2031,Burglary and related offences,6590
2031,Controlled drug offences,3541
2031,Damage to property and to the environment,11397
2031,Dangerous or negligent acts,3477
2031,"Fraud, deception and related offences",1610
2031,Kidnapping and related offences,40
2031,"Offences against government, justice procedures and organisation of crime",4294
2031,Public order and other social code offences,6918
2031,"Robbery, extortion and hijacking offences",1412
2031,Theft and related offences,26921
2031,Weapons and Explosives Offences,993
2032,"Attempts or threats to murder, assaults, harassments and related offences",3500
2032,Burglary and related offences,3545
2032,Controlled drug offences,6111
2032,Damage to property and to the environment,6832
2032,Dangerous or negligent acts,1461
2032,"Fraud, deception and related offences",2364
2032,Kidnapping and related offences,26
2032,"Offences against government, justice procedures and organisation of crime",1983
2032,Public order and other social code offences,24268
2032,"Robbery, extortion and hijacking offences",1530
2032,Theft and related offences,56334
2032,Weapons and Explosives Offences,1467
2033,"Attempts or threats to murder, assaults, harassments and related offences",1598
2033,Burglary and related offences,2929
2033,Controlled drug offences,2100
2033,Damage to property and to the environment,4676
2033,Dangerous or negligent acts,814
2033,"Fraud, deception and related offences",570
2033,Kidnapping and related offences,13
2033,"Offences against government, justice procedures and organisation of crime",370
2033,Public order and other social code offences,4191
2033,"Robbery, extortion and hijacking offences",992
2033,Theft and related offences,10339
2033,Weapons and Explosives Offences,663
2034,"Attempts or threats to murder, assaults, harassments and related offences",1806
