G-ID,Station,Division
20441,Abbeyfeale, Limerick Division
20117,Abbeyleix, Laois/Offaly Division
20424,Adare, Limerick Division
20217,Aglish, Waterford Division
20522,Ahascragh, Galway Division
20700,Ailt an Chorrain, Donegal Division
20649,An Bun Beag, Donegal Division
20653,An Charraig, Donegal Division
20500,An Cheathru Rua, Galway Division
20652,An Clochan Liath, Donegal Division
20393,An Coirean, Kerry Division
20642,An Craoslach, Donegal Division
20643,An Fál Carrach, Donegal Division
20488,An Maim, Galway Division
20218,An Rinn, Waterford Division
20503,An Spideal, Galway Division
20288,Anglesea Street, Cork City Division
20383,Annascaul, Kerry Division
20476,Aran Mor, Galway Division
20648,Ard An Rátha, Donegal Division
2079,Ardee, Louth Division
20378,Ardfert, Kerry Division
20259,Ardfinnan, Tipperary Division
20334,Ardmore, Waterford Division
20414,Ardnacrusha, Limerick Division
20508,Ardrahan, Galway Division
20183,Arklow, Wicklow Division
20122,Arles, Laois/Offaly Division
20677,Arva, Cavan/Monaghan Division
2077,Ashbourne, Meath Division
20200,Ashford, Wicklow Division
20423,Askeaton, Limerick Division
20444,Athea, Limerick Division
20480,Athenry, Galway Division
20515,Athleague, Roscommon/Longford Division
2089,Athlone, Westmeath Division
20160,Athy, Kildare Division
20205,Aughrim, Wicklow Division
20203,Avoca, Wicklow Division
2060,Baile Atha Bui, Meath Division
20384,Baile an Fheirtéaraigh, Kerry Division
20365,Baile Bhuirne, Cork West Division
20682,Bailieboro, Cavan/Monaghan Division
2072,Balbriggan, D.M.R. Northern Division
20554,Balla, Mayo Division
20538,Ballaghderreen, Roscommon/Longford Division
20562,Ballina, Mayo Division
20676,Ballinagh, Cavan/Monaghan Division
20695,Ballinamore, Sligo/Leitrim Division
20521,Ballinasloe, Galway Division
20304,Ballincollig, Cork City Division
20574,Ballindine, Mayo Division
20338,Ballineen, Cork West Division
20442,Ballingarry, Limerick Division
20266,Ballingarry North, Tipperary Division
20244,Ballingarry South, Tipperary Division
20337,Ballinhassig, Cork West Division
20539,Ballinlough, Roscommon/Longford Division
20576,Ballinrobe, Mayo Division
20656,Ballintra, Donegal Division
2061,Ballivor, Meath Division
20157,Ballon, Kilkenny/Carlow Division
20670,Ballybay, Cavan/Monaghan Division
20626,Ballybofey, Donegal Division
20407,Ballybunion, Kerry Division
20690,Ballyconnell, Cavan/Monaghan Division
20333,Ballycotton, Cork North Division
20570,Ballycroy, Mayo Division
20193,Ballycullane, Wexford Division
20349,Ballydehob, Cork West Division
20370,Ballydesmond, Cork West Division
20408,Ballyduff, Kerry Division
209,Ballyfermot, D.M.R. Western Division
20520,Ballygar, Galway Division
20238,Ballyhale, Kilkenny/Carlow Division
20584,Ballyhaunis, Mayo Division
20405,Ballyheigue, Kerry Division
20689,Ballyjamesduff, Cavan/Monaghan Division
20433,Ballylanders, Limerick Division
20121,Ballylinan, Laois/Offaly Division
20216,Ballymacarberry, Waterford Division
2095,Ballymahon, Roscommon/Longford Division
2091,Ballymore, Westmeath Division
20599,Ballymote, Sligo/Leitrim Division
2021,Ballymun, D.M.R. Northern Division
20107,Ballynacargy, Westmeath Division
20421,Ballyneety, Limerick Division
20314,Ballynoe, Cork North Division
20260,Ballyporeen, Tipperary Division
20655,Ballyshannon, Donegal Division
20469,Ballyvaughan, Clare Division
20357,Baltimore, Cork West Division
20162,Baltinglass, Wicklow Division
20126,Banagher, Laois/Offaly Division
20335,Bandon, Cork West Division
20569,Bangor Erris, Mayo Division
20285,Bansha, Tipperary Division
20343,Bantry, Cork West Division
20550,Barnaderg, Galway Division
20401,Barraduff, Kerry Division
20566,Beal an Mhuirthead, Mayo Division
20364,Beal Atha an Ghaorthaidh, Cork West Division
20691,Belturbet, Cavan/Monaghan Division
20235,Bennettsbridge, Kilkenny/Carlow Division
20125,Birr, Laois/Offaly Division
20293,Bishopstown, Cork City Division
20618,Blacklion, Cavan/Monaghan Division
20291,Blackrock Co Cork, Cork North Division
2044,Blackrock Co Dublin, D.M.R. Southern Division
20703,Blackrock Co Louth, Louth Division
20186,Blackwater, Wexford Division
2031,Blanchardstown, D.M.R. Western Division
20303,Blarney, Cork City Division
20163,Blessington, Wicklow Division
20371,Boherbue, Cork West Division
20561,Bonniconlon, Mayo Division
20242,Borris, Kilkenny/Carlow Division
20124,Borris-In-Ossory, Laois/Offaly Division
