P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4454727,,B3,
4432817,113198386.0,B2,108.45
4448747,110027463.0,C1,160.34
4440864,105499156.0,C3,212.98
4416307,,C2,
4452303,,C2,
4459106,113441687.0,C2,187.72
4454626,110206943.0,B3,144.03
4451959,,C2,
4362906,,Ex,
4452916,113289607.0,D2,292.11
4443054,,Ex,
4448470,,B2,
4432167,113050652.0,D1,227.55
4463026,,C1,
4450643,,C3,
4457488,108569286.0,C1,197.19
4451990,100258326.0,C3,204.09
4465874,113454946.0,G,511.11
4454631,113415459.0,E1,335.63
4460922,,C3,
4420206,,D1,
4445981,,A2,
4465945,,A3,
4442344,113152235.0,F,440.15
4421491,113099618.0,C3,214.51
4468442,113528376.0,B3,148.25
4466520,,C2,108011925
4409316,105460026.0,C2,194.92
4468649,,D1,
4330367,112340682.0,C2,177.6
4453915,,D1,
4444017,,A3,
4380594,111337135.0,E2,372.28
4447943,,A1,
4435632,113098784.0,F,413.63
4276863,,E1,
4444497,112194832.0,C2,179.59
4452936,105411375.0,D1,253.18
4464993,,C3,
4438125,111075180.0,B3,145.89
4458104,,C3,
4359058,112980503.0,E2,344.69
4445010,113188049.0,D2,297.39
4445285,113188049.0,D2,
4444626,,C2,
4460851,113246250.0,G,
4449001,,D1,
4448999,,D1,
4438021,,D1,
4357456,108501784.0,D2,261.87
4454576,113252910.0,G,493.92
4453923,,D1,
4464296,,D1,
4417833,112594015.0,F,418.35
4454920,113456362.0,G,524.23
4444768,106897820.0,B3,143.97
4450023,,D1,
4453904,,D1,
4375213,112570759.0,C2,190.67
3665703,113533939.0,B1,
4323325,113533939.0,B1,
4468776,113533939.0,B1,
4442098,105185524.0,D2,263.4
4285093,111454484.0,B3,135.64
4451864,,C2,
4418155,,C1,
4455179,113419444.0,G,
4450388,113216469.0,B3,148.84
4454297,106654759.0,E2,342.72
4334891,112269055.0,C3,200.06
4349025,112493770.0,C3,206.92
4413617,104732730.0,C2,182.32
4458965,113456446.0,G,940.55
4372923,,C2,
4452361,113259410.0,C1,174.92
4452582,800703803.0,G,758.54
4456066,,B3,
4468985,,C1,
4453936,104015458.0,C1,168.67
4459584,108733965.0,C3,209.38
4438855,,D2,
4444782,,C1,
4462179,101981587.0,D1,243.9
4439995,102552023.0,C1,167.96
4450762,112576319.0,C3,205.44
4453968,,E1,
4455733,113136501.0,E2,369.21
4275224,111361549.0,C2,194.71
4399671,112802962.0,G,727.42
4438802,113096242.0,D1,253.06
4455437,113269500.0,D2,291.3
4444362,111870218.0,E2,
4419971,111048807.0,D1,235.49
4416525,,F,
4462694,,Ex,
4461455,108712548.0,D1,
4418269,100548015.0,C2,197.61
4462449,,D1,
4419850,112915335.0,E2,377.3
4453555,,G,
4467272,,C3,
4455973,,E2,
4453108,,E1,
4454218,113245559.0,E1,
4462406,106959604.0,C1,157.54
4453799,104695093.0,G,603.01
4438220,,Ex,
4464906,,Ex,
4394786,,A2,
4422756,,Ex,
4422758,,Ex,
4466066,,A3,
4422762,,Ex,
4422764,,Ex,
4462789,113457329.0,C3,202.52
4467580,,E1,
4468276,,D1,
4467702,,Ex,
4441729,,A2,
4468656,,G,
4459981,105292643.0,C2,188.81
4464693,112784905.0,B3,148.33
4215044,112347091.0,D1,238.74
4451900,108250028.0,E1,315.85
4451701,,C1,
4466389,104794037.0,B3,127.37
4455122,,C3,
4451325,112596010.0,C1,155.23
4454929,113022487.0,C1,
4324883,111920344.0,G,593.81
4434428,112400247.0,,
4461818,,B3,
4416755,112741996.0,F,
4444132,110513587.0,D1,252.33
4450706,113244594.0,E2,354.84
4459381,100743004.0,C2,
4462670,113471221.0,C1,171.32
4464810,103656377.0,C1,165.7
4462276,111406195.0,C2,177.49
4448964,,A2,
4454039,,A3,
4327230,,A2,
4452390,,A2,
4336721,103385357.0,C2,185.9
4447234,,C3,
4468933,0.0,A2,00.00
4466797,106689045.0,B3,27.46
4433733,,Ex,
4436214,,G,
4463014,100914712.0,C2,175.46
4430142,100227636.0,C2,177.44
4462784,112363155.0,C2,196.11
4464839,,C3,
4448428,113215628.0,D1,232.59
4428242,,B3,
4461244,102183928.0,D1,258.15
4444301,112998117.0,E2,371.32
4441686,113026199.0,D2,273.92
4458288,111585881.0,A3,43.4
4466256,,C1,
4437847,113174072.0,C2,188.74
4458414,110772282.0,E1,332.81
4453222,,B3,
4466084,,C2,
4463036,113472336.0,E1,339.82
4444256,,C2,
4460368,103505988.0,C3,206.9
4460688,105623581.0,C2,194.38
4380027,,C1,
4458103,,D1,
4455885,,C3,
4460462,,A1,
4464195,,D1,
4463673,101470706.0,F,439.1
4447747,106492432.0,C3,209.82
4449939,113216428.0,G,528.33
4464096,113481188.0,D2,283.16
4465773,113496434.0,B3,132.26
4463768,,C1,169.91
4312832,112547971.0,F,421.97
4468716,,C2,
4457398,103441549.0,C2,199.96
4376275,,Ex,
4436215,109607648.0,D2,281.07
4433478,112960406.0,E1,321.92
4437127,113104103.0,D1,253.18
4466521,,C2,
4421991,,C1,
4418686,,C1,
4463775,113476816.0,D1,245.81
4433827,,Ex,
4468381,,D1,
4458299,,B3,
4458673,,E2,
4462455,109206797.0,C2,188.66
4420562,,Ex,
4445913,113181580.0,C2,187.03
4354539,105749253.0,E1,336.71
4432840,100664259.0,C3,216.33
4450248,,A2,
4449332,112333158.0,D1,247.13
4468511,113446774.0,C1,157.25
4444791,112718259.0,F,433.30
4461278,,Ex,
4443804,,E1,
4452364,112829932.0,B3,146.79
4464667,,D1,
4448059,113215362.0,D2,277.73
4467567,,C3,
4441530,112618509.0,E1,337.27
4465235,111459772.0,E2,341.59
4456915,104403365.0,B3,145.86
4464768,,E1,
4458833,113423479.0,D2,260.73
4443033,113163372.0,D1,243.83
4461166,113454565.0,D2,
4463226,112968151.0,C3,218.6
4452848,111933834.0,G,498.73
4466549,104567556.0,D1,246.35
4451503,,Ex,
4461578,113461792.0,D2,
4441575,112912506.0,D1,278.13
4429061,113050934.0,G,1245.42
4463415,102164605.0,E2,373.01
4439448,107775454.0,D2,298.72
4468363,113478515.0,E1,302.42
4465000,,C2,
4467624,,E2,
4414320,104109392.0,D2,282.95
4455810,112816368.0,D1,232.09
4430728,101539047.0,B2,245.67
4455749,,C2,
4455429,,C2,
4467877,113532857.0,B2,104.8
4466939,,A2,
4452934,,E2,
4467018,,B2,
4444730,106574510.0,C2,198.57
4441781,,Ex,
4461700,102987443.0,F,422.25
4247599,111246450.0,B3,130.22
4294453,111561817.0,E2,367.44
4459438,113447759.0,C2,199.62
4444003,103938478.0,D1,226.29
4454496,,C3,
4444871,,D2,
4428058,,B1,
4452888,113257554.0,C2,192.83
4420331,100493501.0,B3,
4462431,111965737.0,D2,269.06
4466619,110726197.0,D2,266.42
4451413,,G,
4454844,113269955.0,C1,153.7
4467959,,C3,
4454005,113266613.0,C3,216.85
4452190,,D2,
4362272,,A2,
4462655,113015382.0,C2,183.1
4465697,113257174.0,F,
4465927,,A2,
4451395,,Ex,
4438796,,Ex,
4467133,113522775.0,C1,169.95
4450067,113222376.0,G,495.08
4414362,,A3,
4467070,100529064.0,C3,
4419739,113261648.0,B3,126.14
4301569,,A2,
4458197,101894285.0,C3,216.97
4468601,104615943.0,C2,175.98
4462232,,G,
4466101,112579230.0,C3,218.38
4459125,112324140.0,C1,151.89
