P-ID,Sale Price (Euro),Stamp Duty (Euro),Total Amount (Euro)
4432540,"80,000",,
4454727,POA ,,
4432817,445000.0,"4,450","449,450"
4448747,425000.0,"4,250","429,250"
4440864,268000.0,"2,680","270,680"
4416307,219000.0,"2,190","221,190"
4452303,179950.0,"1,799","181,749"
4459106,345000.0,"3,450","348,450"
4454626,185000.0,"1,850","186,850"
4451959,350000.0,"3,500","353,500"
4362906,875000.0,"8,750","883,750"
4452916,375000.0,"3,750","378,750"
4443054,385000.0,"3,850","388,850"
4448470,425000.0,"4,250","429,250"
4436719,365000.0,"3,650","368,650"
4432167,140000.0,"1,400","141,400"
4463026,299000.0,"2,990","301,990"
4450643,175000.0,"1,750","176,750"
4457488,185000.0,"1,850","186,850"
4451990,175000.0,"1,750","176,750"
4465874,495000.0,"4,950","499,950"
4454631,295000.0,"2,950","297,950"
4460922,139000.0,"1,390","140,390"
4420206,250000.0,"2,500","252,500"
4445981,450000.0,"4,500","454,500"
4465945,POA ,,
4458713,"130,000",,
4465994,"320,000",,
4442344,240000.0,"2,400","242,400"
4463548,80000.0,800,"80,800"
4421491,325000.0,"3,250","328,250"
4468442,350000.0,"3,500","353,500"
4466520,865000.0,"8,650","873,650"
4409316,295000.0,"2,950","297,950"
4468649,260000.0,"2,600","262,600"
4330367,POA ,,
4453915,150000.0,"1,500","151,500"
4444017,"135,000",,
4380594,745000.0,"7,450","752,450"
4447943,635000.0,"6,350","641,350"
4435632,375000.0,"3,750","378,750"
4276863,POA ,,
4444497,950000.0,"9,500","959,500"
4452936,345000.0,"3,450","348,450"
4464993,329000.0,"3,290","332,290"
4438125,295000.0,"2,950","297,950"
4458104,275000.0,"2,750","277,750"
4359058,595000.0,"5,950","600,950"
4445010,549000.0,"5,490","554,490"
4445285,549000.0,"5,490","554,490"
4444626,415000.0,"4,150","419,150"
4460851,410000.0,"4,100","414,100"
4449001,500000.0,"5,000","505,000"
4448999,500000.0,"5,000","505,000"
4438021,500000.0,"5,000","505,000"
4357456,595000.0,"5,950","600,950"
4454576,90000.0,900,"90,900"
4453923,135000.0,"1,350","136,350"
4464296,825000.0,"8,250","833,250"
4417833,400000.0,"4,000","404,000"
4418463,POA ,,
4454920,320000.0,"3,200","323,200"
3765723,POA ,,
4444768,450000.0,"4,500","454,500"
4450023,850000.0,"8,500","858,500"
4453904,150000.0,"1,500","151,500"
4375213,375000.0,"3,750","378,750"
3665703,449950.0,"4,499","454,449"
4323325,449950.0,"4,499","454,449"
4468776,449950.0,"4,499","454,449"
4442098,270000.0,"2,700","272,700"
4285093,325000.0,"3,250","328,250"
4451864,375000.0,"3,750","378,750"
4418155,485000.0,"4,850","489,850"
4455179,240000.0,"2,400","242,400"
4450388,1250000.0,"15,000","1,265,000"
4454297,165000.0,"1,650","166,650"
4334891,900000.0,"9,000","909,000"
4349025,3600000.0,"62,000","3,662,000"
4413617,675000.0,"6,750","681,750"
4458965,355000.0,"3,550","358,550"
4372923,379000.0,"3,790","382,790"
4452361,495000.0,"4,950","499,950"
4452582,225000.0,"2,250","227,250"
4456066,750000.0,"7,500","757,500"
4468985,POA ,,
4453936,595000.0,"5,950","600,950"
4459584,375000.0,"3,750","378,750"
4438855,169000.0,"1,690","170,690"
4444782,690000.0,"6,900","696,900"
4462179,395000.0,"3,950","398,950"
4439995,770000.0,"7,700","777,700"
4450762,895000.0,"8,950","903,950"
4453968,515000.0,"5,150","520,150"
4455733,320000.0,"3,200","323,200"
4275224,570000.0,"5,700","575,700"
4266181,POA ,,
4399671,300000.0,"3,000","303,000"
4438802,495000.0,"4,950","499,950"
4455437,395000.0,"3,950","398,950"
4444362,320000.0,"3,200","323,200"
4419971,POA ,,
4416525,749950.0,"7,499","757,449"
4462694,700000.0,"7,000","707,000"
4461455,390000.0,"3,900","393,900"
4418269,795000.0,"7,950","802,950"
4462449,575000.0,"5,750","580,750"
4419850,375000.0,"3,750","378,750"
4453555,135000.0,"1,350","136,350"
4467272,135000.0,"1,350","136,350"
4455973,265000.0,"2,650","267,650"
4453108,220000.0,"2,200","222,200"
4454218,325000.0,"3,250","328,250"
4462406,395000.0,"3,950","398,950"
4453799,185000.0,"1,850","186,850"
4438220,"150,000",,
4432900,"95,000",,
4432902,"45,000",,
4464906,"35,000",,
4394786,850000.0,"8,500","858,500"
4422756,635000.0,"6,350","641,350"
4422758,675000.0,"6,750","681,750"
4466066,360000.0,"3,600","363,600"
4422762,POA ,,
4422764,675000.0,"6,750","681,750"
4462789,130000.0,"1,300","131,300"
4467580,99000.0,990,"99,990"
4468276,100000.0,"1,000","101,000"
4433782,350000.0,"3,500","353,500"
4467702,POA ,,
4441729,495000.0,"4,950","499,950"
4468656,95000.0,950,"95,950"
4459981,450000.0,"4,500","454,500"
4464693,425000.0,"4,250","429,250"
4215044,200000.0,"2,000","202,000"
4440154,215000.0,"2,150","217,150"
4451900,650000.0,"6,500","656,500"
4451701,275000.0,"2,750","277,750"
4466389,240000.0,"2,400","242,400"
4455122,135000.0,"1,350","136,350"
4451325,350000.0,"3,500","353,500"
4454929,185000.0,"1,850","186,850"
4468862,380000.0,"3,800","383,800"
4324883,190000.0,"1,900","191,900"
4434428,150000.0,"1,500","151,500"
4461818,250000.0,"2,500","252,500"
4416755,250000.0,"2,500","252,500"
4444132,295000.0,"2,950","297,950"
4450706,109000.0,"1,090","110,090"
4459381,185000.0,"1,850","186,850"
4462670,530000.0,"5,300","535,300"
4464810,345000.0,"3,450","348,450"
4462276,595000.0,"5,950","600,950"
4448964,POA ,,
4454039,385000.0,"3,850","388,850"
4327230,800000.0,"8,000","808,000"
4452390,399950.0,"3,999","403,949"
4336721,485000.0,"4,850","489,850"
4447234,275000.0,"2,750","277,750"
4468933,345000.0,"3,450","348,450"
4466797,995000.0,"9,950","1,004,950"
4433733,530000.0,"5,300","535,300"
4436214,199500.0,"1,995","201,495"
4463014,200000.0,"2,000","202,000"
4439905,215000.0,"2,150","217,150"
4430142,350000.0,"3,500","353,500"
4462784,159000.0,"1,590","160,590"
4464839,49000.0,490,"49,490"
4448428,240000.0,"2,400","242,400"
4428242,225000.0,"2,250","227,250"
4461244,280000.0,"2,800","282,800"
4444301,650000.0,"6,500","656,500"
4441686,220000.0,"2,200","222,200"
4458288,750000.0,"7,500","757,500"
4466256,150000.0,"1,500","151,500"
4438594,825000.0,"8,250","833,250"
4437847,212000.0,"2,120","214,120"
4458414,135000.0,"1,350","136,350"
4453222,295000.0,"2,950","297,950"
4466084,295000.0,"2,950","297,950"
4463036,235000.0,"2,350","237,350"
4444256,198000.0,"1,980","199,980"
4460368,179000.0,"1,790","180,790"
4419855,735000.0,"7,350","742,350"
4419868,475000.0,"4,750","479,750"
4460688,285000.0,"2,850","287,850"
4380027,265000.0,"2,650","267,650"
4458103,575000.0,"5,750","580,750"
4455885,515000.0,"5,150","520,150"
4460462,395000.0,"3,950","398,950"
4464195,235000.0,"2,350","237,350"
4463673,335000.0,"3,350","338,350"
4447747,300000.0,"3,000","303,000"
4456596,250000.0,"2,500","252,500"
4418798,250000.0,"2,500","252,500"
4449939,345000.0,"3,450","348,450"
4464096,110000.0,"1,100","111,100"
4465773,215000.0,"2,150","217,150"
4463768,600000.0,"6,000","606,000"
4312832,425000.0,"4,250","429,250"
4468716,160000.0,"1,600","161,600"
4457398,160000.0,"1,600","161,600"
4430251,189000.0,"1,890","190,890"
4376275,3250000.0,"55,000","3,305,000"
4452086,2400000.0,"38,000","2,438,000"
4436215,230000.0,"2,300","232,300"
4433478,700000.0,"7,000","707,000"
4437127,179000.0,"1,790","180,790"
4466521,330000.0,"3,300","333,300"
4421991,195000.0,"1,950","196,950"
4418686,795000.0,"7,950","802,950"
4463775,825000.0,"8,250","833,250"
4433827,2375000.0,"37,500","2,412,500"
4468381,120000.0,"1,200","121,200"
4458299,135000.0,"1,350","136,350"
4458673,325000.0,"3,250","328,250"
4467648,"225,000",,
4462455,279500.0,"2,795","282,295"
4420562,520000.0,"5,200","525,200"
4445913,250000.0,"2,500","252,500"
4354539,645000.0,"6,450","651,450"
4432840,277500.0,"2,775","280,275"
4450248,1150000.0,"13,000","1,163,000"
4449332,1250000.0,"15,000","1,265,000"
4468511,145000.0,"1,450","146,450"
4444791,125000.0,"1,250","126,250"
4461278,275000.0,"2,750","277,750"
4443804,90000.0,900,"90,900"
4452364,POA ,,
4464667,185000.0,"1,850","186,850"
4448059,325000.0,"3,250","328,250"
4467567,329000.0,"3,290","332,290"
4441530,1250000.0,"15,000","1,265,000"
4465235,495000.0,"4,950","499,950"
4456915,675000.0,"6,750","681,750"
4464768,490000.0,"4,900","494,900"
4463806,1300000.0,"16,000","1,316,000"
4458833,150000.0,"1,500","151,500"
4443033,260000.0,"2,600","262,600"
4461166,349000.0,"3,490","352,490"
4463226,360000.0,"3,600","363,600"
4452848,1100000.0,"12,000","1,112,000"
4466549,120000.0,"1,200","121,200"
4451503,370000.0,"3,700","373,700"
4461578,175000.0,"1,750","176,750"
4447251,190000.0,"1,900","191,900"
4441575,POA ,,
4429061,180000.0,"1,800","181,800"
4440677,350000.0,"3,500","353,500"
4463415,150000.0,"1,500","151,500"
4439448,375000.0,"3,750","378,750"
4468363,295000.0,"2,950","297,950"
4465000,132000.0,"1,320","133,320"
4467624,395000.0,"3,950","398,950"
4414320,220000.0,"2,200","222,200"
4455810,470000.0,"4,700","474,700"
4430728,375000.0,"3,750","378,750"
4455749,335000.0,"3,350","338,350"
4421768,90000.0,900,"90,900"
4455429,395000.0,"3,950","398,950"
4467877,490000.0,"4,900","494,900"
4466939,440000.0,"4,400","444,400"
4452934,380000.0,"3,800","383,800"
4467018,325000.0,"3,250","328,250"
4444730,289950.0,"2,899","292,849"
4441781,725000.0,"7,250","732,250"
4461700,595000.0,"5,950","600,950"
4247599,465000.0,"4,650","469,650"
4435810,125000.0,"1,250","126,250"
4294453,495000.0,"4,950","499,950"
4459438,330000.0,"3,300","333,300"
4444003,275000.0,"2,750","277,750"
4454496,145000.0,"1,450","146,450"
4435829,295000.0,"2,950","297,950"
4444871,310000.0,"3,100","313,100"
4428058,299000.0,"2,990","301,990"
4461333,190000.0,"1,900","191,900"
4452888,175000.0,"1,750","176,750"
4420331,465000.0,"4,650","469,650"
4462431,185000.0,"1,850","186,850"
4466619,150000.0,"1,500","151,500"
4451413,135000.0,"1,350","136,350"
4454844,190000.0,"1,900","191,900"
4467959,135000.0,"1,350","136,350"
4454005,140000.0,"1,400","141,400"
4452190,POA ,,
4445359,130000.0,"1,300","131,300"
4362272,410000.0,"4,100","414,100"
4462655,250000.0,"2,500","252,500"
4465697,185000.0,"1,850","186,850"
4465927,635000.0,"6,350","641,350"
4451395,629000.0,"6,290","635,290"
4438796,120000.0,"1,200","121,200"
4467133,190000.0,"1,900","191,900"
4450067,295000.0,"2,950","297,950"
4414362,1075000.0,"11,500","1,086,500"
4467070,165000.0,"1,650","166,650"
4419739,225000.0,"2,250","227,250"
4301569,480000.0,"4,800","484,800"
4458197,725000.0,"7,250","732,250"
4468601,585000.0,"5,850","590,850"
4462232,130000.0,"1,300","131,300"
4466101,137500.0,"1,375","138,875"
4459125,325000.0,"3,250","328,250"
4464161,120000.0,"1,200","121,200"
4380284,285000.0,"2,850","287,850"
4359003,415000.0,"4,150","419,150"
4467850,415000.0,"4,150","419,150"
4435022,285000.0,"2,850","287,850"
4433746,300000.0,"3,000","303,000"
4457003,185000.0,"1,850","186,850"
4443561,250000.0,"2,500","252,500"
4455722,395000.0,"3,950","398,950"
4422832,315000.0,"3,150","318,150"
4417181,POA ,,
4422252,385000.0,"3,850","388,850"
4453948,140000.0,"1,400","141,400"
4465943,130000.0,"1,300","131,300"
4461778,290000.0,"2,900","292,900"
4411913,550000.0,"5,500","555,500"
4458495,185000.0,"1,850","186,850"
4448659,1200000.0,"14,000","1,214,000"
4450124,325000.0,"3,250","328,250"
4449700,325000.0,"3,250","328,250"
4468462,425000.0,"4,250","429,250"
4423918,120000.0,"1,200","121,200"
4452191,"40,000",,
4428019,265000.0,"2,650","267,650"
4328131,725000.0,"7,250","732,250"
4444676,100000.0,"1,000","101,000"
4444750,325000.0,"3,250","328,250"
4379951,249950.0,"2,499","252,449"
4454964,625000.0,"6,250","631,250"
4462010,370000.0,"3,700","373,700"
4464682,345000.0,"3,450","348,450"
4454771,285000.0,"2,850","287,850"
4443095,750000.0,"7,500","757,500"
4462723,895000.0,"8,950","903,950"
4442939,650000.0,"6,500","656,500"
4415380,400000.0,"4,000","404,000"
4363396,185000.0,"1,850","186,850"
4420089,POA ,,
4427513,130000.0,"1,300","131,300"
4457117,"65,000",,
4468026,"67,500",,
4460094,15000.0,150,"15,150"
4430387,129000.0,"1,290","130,290"
4468552,"100,000",,
4463189,595000.0,"5,950","600,950"
4346063,900000.0,"9,000","909,000"
4468641,900000.0,"9,000","909,000"
4452334,375000.0,"3,750","378,750"
4467495,595000.0,"5,950","600,950"
4466280,995000.0,"9,950","1,004,950"
4466870,195000.0,"1,950","196,950"
4449030,375000.0,"3,750","378,750"
4374853,375000.0,"3,750","378,750"
4465136,380000.0,"3,800","383,800"
4419387,245000.0,"2,450","247,450"
4460986,495000.0,"4,950","499,950"
4462926,425000.0,"4,250","429,250"
4414931,175000.0,"1,750","176,750"
4348433,130000.0,"1,300","131,300"
4451353,495000.0,"4,950","499,950"
4427719,85000.0,850,"85,850"
4465379,425000.0,"4,250","429,250"
4462128,270000.0,"2,700","272,700"
4447033,260000.0,"2,600","262,600"
4467083,79900.0,799,"80,699"
4457640,345000.0,"3,450","348,450"
4443572,275000.0,"2,750","277,750"
4456169,199950.0,"1,999","201,949"
4467255,166000.0,"1,660","167,660"
4467155,166000.0,"1,660","167,660"
4413788,450000.0,"4,500","454,500"
4450872,POA ,,
4063385,245000.0,"2,450","247,450"
4441680,190000.0,"1,900","191,900"
4440310,299000.0,"2,990","301,990"
4456692,143000.0,"1,430","144,430"
4458198,425000.0,"4,250","429,250"
4455824,395000.0,"3,950","398,950"
4459847,150000.0,"1,500","151,500"
4467517,245000.0,"2,450","247,450"
4463229,220000.0,"2,200","222,200"
4462056,415000.0,"4,150","419,150"
4459298,575000.0,"5,750","580,750"
4466262,925000.0,"9,250","934,250"
4453170,475000.0,"4,750","479,750"
4429783,1250000.0,"15,000","1,265,000"
4437069,185000.0,"1,850","186,850"
4419994,545000.0,"5,450","550,450"
4452753,175000.0,"1,750","176,750"
4414162,225000.0,"2,250","227,250"
4417206,40000.0,400,"40,400"
4466574,275000.0,"2,750","277,750"
4460728,180000.0,"1,800","181,800"
4401118,575000.0,"5,750","580,750"
4444834,400000.0,"4,000","404,000"
4412849,295000.0,"2,950","297,950"
4468299,275000.0,"2,750","277,750"
4467929,580000.0,"5,800","585,800"
4440318,249950.0,"2,499","252,449"
4461666,595000.0,"5,950","600,950"
4465775,395000.0,"3,950","398,950"
4445744,150000.0,"1,500","151,500"
4462175,225000.0,"2,250","227,250"
4456388,275000.0,"2,750","277,750"
4461502,785000.0,"7,850","792,850"
4432706,210000.0,"2,100","212,100"
4464711,375000.0,"3,750","378,750"
4467438,590000.0,"5,900","595,900"
4461177,480000.0,"4,800","484,800"
4467647,"280,000",,
4455599,175000.0,"1,750","176,750"
4449022,385000.0,"3,850","388,850"
4461614,245000.0,"2,450","247,450"
4456381,395000.0,"3,950","398,950"
4464854,850000.0,"8,500","858,500"
4449398,200000.0,"2,000","202,000"
4450373,495000.0,"4,950","499,950"
4462138,700000.0,"7,000","707,000"
4414663,POA ,,
4456826,275000.0,"2,750","277,750"
4460033,235000.0,"2,350","237,350"
4451851,160000.0,"1,600","161,600"
4446778,284950.0,"2,849","287,799"
4462005,110000.0,"1,100","111,100"
4461896,309000.0,"3,090","312,090"
4455259,450000.0,"4,500","454,500"
4395919,460000.0,"4,600","464,600"
4467231,325000.0,"3,250","328,250"
4444245,259950.0,"2,599","262,549"
4466420,360000.0,"3,600","363,600"
4442021,395000.0,"3,950","398,950"
4447225,85000.0,850,"85,850"
4468957,275000.0,"2,750","277,750"
4370610,585000.0,"5,850","590,850"
4467109,225000.0,"2,250","227,250"
4463977,259000.0,"2,590","261,590"
4355068,280000.0,"2,800","282,800"
4466314,165000.0,"1,650","166,650"
4462063,459000.0,"4,590","463,590"
4456998,235000.0,"2,350","237,350"
4428316,449950.0,"4,499","454,449"
4464393,100000.0,"1,000","101,000"
4452713,220000.0,"2,200","222,200"
4462070,285000.0,"2,850","287,850"
4466620,130000.0,"1,300","131,300"
4450835,385000.0,"3,850","388,850"
4460862,395000.0,"3,950","398,950"
4444764,170000.0,"1,700","171,700"
4466821,124900.0,"1,249","126,149"
4455803,565000.0,"5,650","570,650"
4454704,295000.0,"2,950","297,950"
4394739,565000.0,"5,650","570,650"
4465395,420000.0,"4,200","424,200"
4466589,189950.0,"1,899","191,849"
