P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4432540,52.4473539,-6.346930299999999,"   blackwater, blackwater, wexford",,Y35
4454727,52.59939749999999,-8.806099099999997,"  'cois na coille',curraghchase,, kilcornan, limerick",V94 DCN4,V94
4432817,51.59762,-9.568404,"  'janest' dunbeacon, durrus, west cork",P75NR74,P75
4448747,53.3054493,-6.2031515,"  10 merrion woods, stillorgan road, booterstown, dublin",,
4440864,51.821931,-8.403391300000001,"  173 dun eoin, carrigaline, cork",P43FE82,P43
4416307,52.80825180000001,-6.1386046,"  18 cluain árd court, arklow, wicklow",Y14YC58,Y14
4452303,53.6108671,-6.2106118,"  20 martello rise, balbriggan, dublin",K32RW29,K32
4459106,53.34119889999999,-6.3067438,"  23 carrickfoyle terrace, kilmainham, dublin 8",D08 R5FR,D08
4454626,53.04156769999999,-7.2949182,"  25 primrose avenue, esker hills, portlaoise, co. laois, portlaoise, laois",R32 Y43A,R32
4451959,53.4039338,-6.2087414,"  26 clonshaugh walk, clonshaugh, dublin 17",D17YF54,D17
4362906,53.3029713,-6.2023183,"  3 bedroom stable house, the rise , mount merrion, dublin",,
4452916,53.34146260000001,-6.228281099999999,"  38 fitzwilliam quay, ringsend, dublin 4",D04VW13,D04
4443054,52.6516712,-7.2555838,"  4 wellington square, kilkenny, kilkenny",R95FE81,R95
4448470,53.2728517,-6.255246400000001,"  50 ballintyre meadows, ballinteer, dublin 16, ballinteer,   dublin 16",,D16
4436719,53.39047530000001,-6.2574314000000015,"  50 shanowen avenue, santry, dublin 9",D09K4W8,D09
4432167,53.16072310000001,-7.2109596000000025,"  52 kilmalogue park , portarlington, laois",R32R726,R32
4463026,52.78520049999999,-6.1732679999999975,"  78 knockmore, wexford road, arklow, wicklow",Y14E179,Y14
4450643,53.39427930000001,-6.2629224999999975,"  apartment 26, block c, the gateway student village, ballymun, dublin 9",D09TR50,D09
4457488,52.65622239999999,-7.2467553,"  apartment 37, the arches, kilkenny, kilkenny",R95CD32,R95
4451990,52.67472799999999,-7.2553937999999984,"  apartment 82, station house, macdonagh junction, kilkenny, kilkenny",R95RW77,R95
4465874,53.3955103,-6.284008399999999,"  bella vista, 35 cedarwood road, glasnevin, dublin 11, dublin",D11P400,D11
4454631,52.9502365,-6.8597114,"  brooklands, kilkea, castledermot, kildare",R14X995,R14
4460922,54.10075819999999,-7.853509499999999,"  curraghnabania, aughnasheelin , ballinamore, leitrim",N41XF97,N41
4420206,52.7514416,-7.8165569,"  graiguefrehane, templemore, tipperary",E41D304,E41
4445981,51.744201200000006,-8.7374755,"  house type a, maple drive, dunmanway road, bandon, west cork",,P72
4465945,53.33374910000001,-7.0697316999999975,"  killane view, edenderry, offaly",,R45
4458713,51.8684051,-8.7999722,"  knockshanawee, farnanes, cork",P14V583,P14
4465994,52.6541454,-7.2447879,"  lands 12.8 acres at bonnettstown,tullaroan road, kilkenny, kilkenny",,R95
4442344,51.9549482,-7.849220499999999,"  north main street, youghal, cork",P36XE86,P36
4463548,51.7010826,-9.6132543,"  old schoolhouse, derreenacarrin, adrigole, west cork",,
4421491,52.3449916,-7.674733199999999,"  poulavanogue (co. waterford), clonmel, tipperary",E91 P798,E91
4468442,52.650159,-7.2529080000000015,"  spellbound, garringreen, kilkenny, kilkenny",R95Y7Y0,R95
4466520,52.67451429999999,-8.5025285," ""abhaile"", raheen, lisnagry, limerick",V94N9C6,V94
4409316,51.865083,-8.075021000000001," ""an teachin"", ballymaloe, shanagarry, cork",P25HC42,P25
4468649,53.464116,-6.2050595," ""anam cara"", seatown road, swords, co. dublin",,K67
4330367,52.6226681,-8.642603999999999," ""autumn lodge"", dooradoyle road, dooradoyle, limerick",V94160P,V94
