S-ID,Name,Type,Ranking,Num Pupils
00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,primary,,229
00373P,DERAVOY NATIONAL SCHOOL,primary,,66
00467B,BALLINSPITTLE N S,primary,,222
00512D,MIDLETON CONVENT N S,primary,,448
00538V,CLOCHAR DAINGEAN,primary,,114
00606M,MONARD N S,primary,,96
00651R,BORRIS MXD N S,primary,,215
00697S,ST BRIGIDS MXD N S,primary,,949
00714P,LUCAN B N S,primary,,513
00729F,CLOCHAR LORETO N S,primary,,501
00752A,CENTRAL SENIOR MXD N S,primary,,276
00779U,PRESENTATION GIRLS PRIMARY SCHOOL,primary,,619
00788V,LISDOWNEY N S,primary,,95
00796U,SCOIL LACHTAIN,primary,,189
00851C,PRESENTATION CONVENT,primary,,282
00856M,SCOIL NAOMH MICHEAL,primary,,236
00860D,FORGNEY N S,primary,,19
00883P,AINE NAOFA N S,primary,,317
00885T,RATOATH JUNIOR N S,primary,,377
00892Q,SHANGANAMORE N S,primary,,115
00895W,BALLINAKILL MIXED N S,primary,,92
00934G,PRESENTATION CONVENT (JNR),primary,,313
00941D,S N BHRIDE,primary,,31
00973Q,GRANGE CON N S,primary,,31
00977B,BALLYCONNELL N S,primary,,166
00984V,GLENEALY 1 N S,primary,,120
01000E,ESKER N S,primary,,103
01013N,SCOIL CROI IOSA,primary,,128
01086R,S N POL NAOFA,primary,,70
01116A,BAILE AN CHUILINN N S,primary,,120
01125B,LEITRIM MXD N S,primary,,212
01170G,S N NA H-AILLE,primary,,139
01197D,STRAWBERRY HILL B N S,primary,,187
01215C,NEWTOWN DUNLECKNEY MXD,primary,,146
01272O,S N CHUAN DOIR,primary,,72
01285A,TIPPERARY JNR BN S,primary,,81
01300Q,ST MICHAELS NATIONAL SCHOOL,primary,,47
01309L,STACKALLEN N S,primary,,190
01328P,KILTORMER N S,primary,,25
01356U,KILNALECK MIXED N S,primary,,97
01395H,AGLISH N S,primary,,97
01396J,TULLOHA NATIONAL SCHOOL,primary,,39
01415K,RATHOE NS,primary,,177
01421F,KILSKYRE MIXED N S,primary,,88
01434O,S N COLUMCILLE,primary,,173
01553W,ST. MOCHTA'S NATIONAL SCHOOL,primary,,151
01554B,BAILE AN PHUSTA N S,primary,,217
01569O,BALLYCAHILL N S,primary,,57
01572D,S N NAOMH PADRAIG,primary,,64
01574H,SCOIL NAOMH IÓSAF,primary,,50
01583I,GLOUNAGUILLAGH N S,primary,,138
01594N,ST JOHNS,primary,,176
01607T,S N COR NA FOLA B,primary,,243
