p_id,sale_price,property_type,beds,baths,area_sqm,routing_key,ber_rating,ber_energy,sec_school_distance,no_of_sec_schools_5k,pri_scholl_distance,no_of_pri_schools_5k,garda_distance,no_of_garda_5k,ann_mean_crime_0,total_crime_0,ann_mean_crime_1,total_crime_1,ann_mean_crime_2,total_crime_2,ann_mean_crime_3,total_crime_3,ann_mean_crime_4,total_crime_4,ann_mean_crime_5,total_crime_5,ann_mean_crime_6,total_crime_6,ann_mean_crime_7,total_crime_7,ann_mean_crime_8,total_crime_8,ann_mean_crime_9,total_crime_9,ann_mean_crime_10,total_crime_10,ann_mean_crime_11,total_crime_11,ed_english,pop_2016,hpindex_2016,ed_high,hl_prof,larent,unemployment,county,schoolrank,houses_sold,max_sale_price,min_sale_price,mean_sale_price,median_sale_price
4432540,8000.0,Site ,,,,Y35,,,14.591428274433602,0.0,6.696076881872841,0.0,0.2518635345412917,1.0,5.67,68.0,23.25,279.0,6.67,80.0,17.83,214.0,7.42,89.0,2.25,27.0,0.17,2.0,0.83,10.0,8.08,97.0,0.42,5.0,38.92,467.0,1.25,15.0,BALLYHUSKARD,1579.0,-9.37466846,25.64007169,33.94553515,4.17800978,20.13160448,Wexford,240.0,11.0,250000.0,95000.0,159454.54545454544,140000.0
4454727,0.0,Detached House ,5.0,4.0,307.0,V94,B3,,5.272939776053863,0.0,1.3751343880214617,2.0,4.346551609249852,1.0,6.33,76.0,10.25,123.0,2.17,26.0,11.42,137.0,4.67,56.0,0.67,8.0,0.0,0.0,1.25,15.0,7.83,94.0,0.5,6.0,29.25,351.0,0.5,6.0,KILCORNAN,772.0,-0.05704715,35.94038144,44.68911917,0.0,6.57358047,Limerick,321.0,5.0,350000.0,150000.0,271000.0,290000.0
4432817,445000.0,Detached House ,5.0,3.0,174.0,P75,B2,108.45,37.9071623054687,0.0,3.5565677420369712,2.0,4.357817771165518,1.0,2.25,27.0,2.67,32.0,2.08,25.0,3.67,44.0,1.67,20.0,0.25,3.0,0.0,0.0,0.17,2.0,2.25,27.0,0.0,0.0,5.75,69.0,0.0,0.0,GLANLOUGH,201.0,-5.02259263,34.30656934,41.29353234,1.2345678999999998,13.04347826,Cork,129.0,5.0,420000.0,123000.0,307100.0,345000.0
4448747,425000.0,Apartment ,2.0,2.0,73.0,,C1,160.34,0.34078738457718977,33.0,0.19390075418585725,62.0,1.8179579341137468,6.0,60.92,731.0,279.67,3356.0,75.33,904.0,195.75,2349.0,49.67,596.0,49.42,593.0,0.25,3.0,14.58,175.0,242.42,2909.0,17.33,208.0,560.33,6724.0,11.5,138.0,BLACKROCK-BOOTERSTOWN,3436.0,12.87474956,77.08876647,65.54132712,0.82864685,4.84214718,Dublin,16.0,29.0,1150000.0,100000.0,539325.2793103448,440000.0
4440864,268000.0,,3.0,3.0,100.0,P43,C3,212.98,2.1086255456928686,1.0,0.4927903478678248,7.0,1.1334216169930629,1.0,33.17,398.0,35.58,427.0,49.67,596.0,68.25,819.0,34.67,416.0,10.5,126.0,0.08,1.0,5.33,64.0,114.92,1379.0,1.0,12.0,112.0,1344.0,3.25,39.0,CARRIGALINE,14580.0,2.966375405,41.929612535,42.282428845,5.324771395,9.2198181,Cork,,27.0,800000.0,195000.0,301809.56814814813,250000.0
4416307,219000.0,Semi-Detached House ,3.0,3.0,93.0,Y14,C2,,1.7646123648266883,2.0,0.6684775371741815,6.0,1.540841413883669,1.0,76.25,915.0,100.67,1208.0,97.33,1168.0,130.17,1562.0,48.17,578.0,16.25,195.0,0.5,6.0,61.33,736.0,186.08,2233.0,6.0,72.0,240.25,2883.0,13.67,164.0,KILBRIDE,1857.0,-3.15782089,34.53720327,43.58772044,0.748027125,12.408523975,Wicklow,277.0,18.0,495000.0,167000.0,271030.55555555556,258500.0
4452303,179950.0,End of Terrace House ,2.0,2.0,67.0,K32,C2,,0.4653687360157854,4.0,0.2860249259687892,10.0,1.3394852224448954,1.0,79.0,948.0,138.17,1658.0,68.83,826.0,198.0,2376.0,75.83,910.0,57.17,686.0,0.67,8.0,50.25,603.0,168.17,2018.0,12.75,153.0,386.0,4632.0,14.0,168.0,BALBRIGGAN RURAL,16495.0,-5.13064996,34.80179888,30.53046378,13.66854537,15.24062439,Dublin,,29.0,400000.0,115000.0,200616.72413793104,200000.0
4459106,345000.0,End of Terrace House ,3.0,2.0,93.0,D08,C2,187.72,1.0923525789257014,39.0,0.4620270081100888,116.0,0.18076633953235025,13.0,144.75,1737.0,267.08,3205.0,153.08,1837.0,494.83,5938.0,104.17,1250.0,42.5,510.0,1.67,20.0,207.83,2494.0,481.42,5777.0,62.25,747.0,798.17,9578.0,49.17,590.0,KILMAINHAM B,2414.0,6.59329945,65.3497543,47.72162386,12.68163972,11.68458418,Dublin,255.0,55.0,850501.0,106290.5,347394.9727272727,327000.0
4454626,185000.0,Detached House ,4.0,3.0,114.0,R32,B3,144.03,1.2718792935877663,2.0,0.7976927297755572,10.0,1.228568385773525,1.0,117.67,1412.0,147.67,1772.0,159.92,1919.0,209.92,2519.0,102.08,1225.0,35.17,422.0,0.67,8.0,64.42,773.0,261.58,3139.0,9.58,115.0,497.33,5968.0,14.25,171.0,,,,,,,,Laois,249.0,60.0,670000.0,49348.85,188773.71416666667,180250.0
4451959,350000.0,Semi-Detached House ,3.0,2.0,85.0,D17,C2,,1.8138610554340693,16.0,0.2510352375675711,79.0,1.592973624653154,6.0,129.92,1559.0,274.5,3294.0,463.67,5564.0,529.75,6357.0,133.25,1599.0,41.25,495.0,1.42,17.0,101.25,1215.0,417.33,5008.0,61.83,742.0,894.5,10734.0,75.17,902.0,PRIORSWOOD A,1618.0,-10.66104578,16.80601786,19.22126082,6.83903914,14.371279999999999,Dublin,,14.0,350000.0,97500.0,260535.7142857143,256000.0
