id,l_id,dateofsale,price,notfullprice,vatexcl,description,sizedesc
810,10585,25/01/2010,195000,No,No,Second-Hand Dwelling house /Apartment,NULL
4897,22643,15/04/2010,120000,No,No,Second-Hand Dwelling house /Apartment,NULL
7870,25336,04/06/2010,360000,No,No,Second-Hand Dwelling house /Apartment,NULL
8980,24147,24/06/2010,337445.2,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
9677,20884,05/07/2010,325000,No,No,Second-Hand Dwelling house /Apartment,NULL
10355,23185,15/07/2010,48000,Yes,No,Second-Hand Dwelling house /Apartment,NULL
14291,21016,14/09/2010,80000,Yes,No,Second-Hand Dwelling house /Apartment,NULL
15030,25160,24/09/2010,40000,No,No,Second-Hand Dwelling house /Apartment,NULL
17151,19891,29/10/2010,99500,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24543,28597,01/04/2011,30000,No,No,Second-Hand Dwelling house /Apartment,NULL
28601,24360,30/06/2011,226000,No,No,Second-Hand Dwelling house /Apartment,NULL
31672,26828,29/08/2011,150000,Yes,No,Second-Hand Dwelling house /Apartment,NULL
32421,19579,12/09/2011,175000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
32431,24707,12/09/2011,50000,No,No,Second-Hand Dwelling house /Apartment,NULL
33322,25717,28/09/2011,59000,No,No,Second-Hand Dwelling house /Apartment,NULL
37972,3007,12/12/2011,185000,No,No,Second-Hand Dwelling house /Apartment,NULL
39260,21317,22/12/2011,185022,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
40431,4564,27/01/2012,142500,No,No,Second-Hand Dwelling house /Apartment,NULL
41021,20545,08/02/2012,105000,No,No,Second-Hand Dwelling house /Apartment,NULL
42534,10199,08/03/2012,95000,No,No,Second-Hand Dwelling house /Apartment,NULL
43764,25085,02/04/2012,105000,No,No,Second-Hand Dwelling house /Apartment,NULL
44658,23529,20/04/2012,160000,No,No,Second-Hand Dwelling house /Apartment,NULL
49399,24423,05/07/2012,315000,No,No,Second-Hand Dwelling house /Apartment,NULL
49692,26213,10/07/2012,140000,No,No,Second-Hand Dwelling house /Apartment,NULL
50381,20256,20/07/2012,167753,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
56451,28496,12/10/2012,275000,No,No,Second-Hand Dwelling house /Apartment,NULL
61040,20823,04/12/2012,1025000,No,No,Second-Hand Dwelling house /Apartment,NULL
64512,26928,21/12/2012,40000,No,No,Second-Hand Dwelling house /Apartment,NULL
68284,7799,08/03/2013,110000,No,No,Second-Hand Dwelling house /Apartment,NULL
70232,120,12/04/2013,38000,No,No,Second-Hand Dwelling house /Apartment,NULL
71962,29067,08/05/2013,100000,Yes,No,Second-Hand Dwelling house /Apartment,NULL
72035,20214,09/05/2013,70000,No,No,Second-Hand Dwelling house /Apartment,NULL
72462,19928,16/05/2013,65000,No,No,Second-Hand Dwelling house /Apartment,NULL
72513,3567,17/05/2013,391000,No,No,Second-Hand Dwelling house /Apartment,NULL
75810,13777,28/06/2013,65000,No,No,Second-Hand Dwelling house /Apartment,NULL
77095,21603,15/07/2013,30348,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
78329,21839,26/07/2013,260000,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
78526,9588,30/07/2013,130000,No,No,Second-Hand Dwelling house /Apartment,NULL
79059,21325,02/08/2013,48000,No,No,Second-Hand Dwelling house /Apartment,NULL
81308,8925,01/09/2013,14180,No,No,Second-Hand Dwelling house /Apartment,NULL
81967,26766,06/09/2013,34000,No,No,Second-Hand Dwelling house /Apartment,NULL
83027,11188,20/09/2013,65000,No,No,Second-Hand Dwelling house /Apartment,NULL
83715,9682,27/09/2013,320000,No,No,Second-Hand Dwelling house /Apartment,NULL
86698,15521,30/10/2013,92000,No,No,Second-Hand Dwelling house /Apartment,NULL
86885,10914,31/10/2013,109000,No,No,Second-Hand Dwelling house /Apartment,NULL
87693,28700,08/11/2013,400000,No,No,Second-Hand Dwelling house /Apartment,NULL
87862,12629,11/11/2013,430000,No,No,Second-Hand Dwelling house /Apartment,NULL
88157,8131,14/11/2013,175000,No,No,Second-Hand Dwelling house /Apartment,NULL
88182,12332,14/11/2013,460000,No,No,Second-Hand Dwelling house /Apartment,NULL
88482,28030,15/11/2013,62500,No,No,Second-Hand Dwelling house /Apartment,NULL
88498,5548,18/11/2013,43590,Yes,No,Second-Hand Dwelling house /Apartment,NULL
88581,25964,18/11/2013,45000,No,No,Second-Hand Dwelling house /Apartment,NULL
