id,formatted_address,lat,lng,county,address,dateofsale,euro_price
30,"Shanagarry House, Shanagarry North, Shanagarry, Co. Cork, Ireland",51.8536331,-8.0326558,Cork,"NO. 7 SHANAGARRY HOUSE, DUNMANWAY, CO.CORK",06/11/2020,185000.00
42,"11 Eden Grove, Ballisk Common, Donabate, Co. Dublin, Ireland",53.4933598,-6.1498711,Dublin,"11 EDEN GROVE, DONABATE, DUBLIN",06/11/2020,375000.00
50,"12 Beverly Heights, Raheen, Limerick, V94 T2NK, Ireland",52.6315188,-8.6489714,Limerick,"12 BEVERLY HEIGHTS, RAHEEN, LIMERICK",06/11/2020,205000.00
45,"12 Caledon Ct, East Wall, Dublin, D03 TP83, Ireland",53.3533513,-6.2321533,Dublin,"12 CALEDON COURT, EAST RD, EAST WALL DUBLIN 3",06/11/2020,345000.00
48,"12 The Meadows, Broomfield West, Tír Cluain, Co. Cork, P25 HY38, Ireland",51.930097,-8.1889031,Cork,"12 THE MEADOWS, TIR CLUAIN, MIDLETON",06/11/2020,250000.00
47,"13 Upper Pennywell, Sarsfield Ave, Limerick, V94 EN1W, Ireland",52.6625633,-8.614539,Limerick,"13 SARSFIELD AVE, GARRYOWEN, LIMERICK",06/11/2020,119800.80
57,"157 Beechwood Ct, Galloping Green North, Dublin, Ireland",53.2832192,-6.1884259,Dublin,"157 BEECHWOOD COURT, STILLORGAN, DUBLIN",06/11/2020,330000.00
53,"186 Whitebeams Rd, Wedgewood, Sandyford, Dublin 16, D16 F5K2, Ireland",53.2790605,-6.2247481,Dublin,"186 WHITEBEAMS RD, WEDGEWOOD, SANDYFORD DUBLIN 18",06/11/2020,392000.00
12,"36 Chandlers View, Ballynoe, Rushbrooke Links, Co. Cork, P24 HC52, Ireland",51.8554181,-8.3215487,Cork,"36 CHANDLERS VIEW, RUSHBROOKE LINKS, COBH",06/11/2020,290000.00
13,"38 Coolrua Dr, Beaumont, Dublin, D09 HX39, Ireland",53.388858,-6.2334201,Dublin,"38 COOLRUA DR, BEAUMONT, DUBLIN 9",06/11/2020,357555.00
