,amenity_id,lattitude,longitutude,amenity,Distance,Score,Amenity_Group
0,Act0,52.6297968743748,-7.07423970149609,"""A Rural Experience"" Day Tours",,,"Activity Operator,Tour"
1,Act1,53.3457958187091,-6.2612322100822,10 Fleet Street Restaurant & Bar,,,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
2,Act2,53.350167,-6.257199,101 Talbot,,,"Covid Safety Charter,Food and Drink,Restaurant,Vegetarian"
3,Act3,53.3493056292935,-6.26020515750122,11 Day Discover Ireland Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
4,Act4,53.3493056292935,-6.26020515750122,12 Day Giant Irish Adventure Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
5,Act5,53.3524569,-6.2705757,12 Henrietta Street,,,"Historic Houses and Castle,Venue,Music"
6,Act6,53.2772719,-9.0494491,126 Artist-Run Gallery,,,"Craft,Shopping,Art Gallery"
7,Act7,53.3525066716744,-6.27021090475955,14 Henrietta Street,,,"Covid Safety Charter,Historic Houses and Castle,Museums and Attraction,Venue,Music,Food Shops,Shopping,Tour"
8,Act8,53.3391383245021,-6.25036385533451,1916 Freedom Tour,,,"Activity Operator,Tour"
9,Act9,53.343099,-6.261746,1916 Rebellion Walking Tours,,,"Walking,Activity Operator,Tour"
10,Act10,53.3454402,-6.2798109,1916 Ride the Revolution Rise of the Rebels Bus Tour - Hidden Dublin Walks,,,"Activity Operator,Tour"
11,Act11,54.1680768171531,-8.60323392388511,1st Adventure Tours,,,"Activity Operator,Tour"
12,Act12,53.3294028362726,-6.23225326121451,2019 Irish Harvest Festival,,,"Food and Drink,Restaurant"
13,Act13,51.90143,-8.4801299,2020 Art Gallery,,,"Craft,Shopping,Art Gallery"
14,Act14,53.343801,-6.269701,3 Day Southern Tour - Shamrocker Adventures,,,"Activity Operator,Tour"
15,Act15,53.343801,-6.269701,3 Day Western Rocker Tour - Shamrocker Adventures,,,"Activity Operator,Tour"
